id	authors	year	title	container_or_publication	raw_entry
de-goede-2014-bib-011	Bonfante, Guiliano	1934	Notas sobre el vocabulario céltico y latino.	Emerita: boletín de linguística y filología clásica 2 (263-306).	Bonfante, Guiliano (1934). “Notas sobre el vocabulario céltico y latino.” Emerita: boletín de linguística y filología clásica 2 (263-306).
de-goede-2014-bib-012	Bornemann, Eduard; Risch, Ernst	1978	Griechische Grammatik	am Main: Moritz Diesterweg.	Bornemann, Eduard; Risch, Ernst (1978). Griechische Grammatik. Frankfurt am Main: Moritz Diesterweg.
de-goede-2014-bib-013	Buck, Carl Darling	1904	A grammar of Oscan and Umbrian: with a collection of inscriptions and a glossary	 Ginn & Comp.	Buck, Carl Darling (1904). A grammar of Oscan and Umbrian: with a collection of inscriptions and a glossary. Boston: Ginn & Comp.
de-goede-2014-bib-014	Brugmann, Karl	1892	Grundriss der vergleichenden Grammatik der indogermanischen Sprachen. Vol. 2, part 1: Wortbildungslehre (Stammbildungs- und Flexionslehre)	 Cambridge University press (digital edition 2010).	Brugmann, Karl (1892). Grundriss der vergleichenden Grammatik der indogermanischen Sprachen. Vol. 2, part 1: Wortbildungslehre (Stammbildungs- und Flexionslehre). Cambridge: Cambridge University press (digital edition 2010).
de-goede-2014-bib-015	Casaretto, Antje	2004	Nominale Wortbildung der gotischen Sprache: die Derivation der Substantive	 Winter.	Casaretto, Antje (2004). Nominale Wortbildung der gotischen Sprache: die Derivation der Substantive. Heidelberg: Winter.
de-goede-2014-bib-016	Chantraine, Pierre	1961	Morphologie historique du grec	 Klincksieck.	Chantraine, Pierre (1961). Morphologie historique du grec. Paris: Klincksieck.
de-goede-2014-bib-017	Clackson, James; Olsen, Birgit Anette (eds.)	2004	Indo-European Word Formation	of the Conference held at the University of Copenhagen October 20th - 22nd 2000. Copenhagen: Museum Tuscalanum, University of Copenhagen.	Clackson, James; Olsen, Birgit Anette (eds.) (2004). Indo-European Word Formation. Proceedings of the Conference held at the University of Copenhagen October 20th - 22nd 2000. Copenhagen: Museum Tuscalanum, University of Copenhagen.
de-goede-2014-bib-018	Cowgill, Warren	1970	Italic and Celtic Superlatives and the Dialects of Indo-European	 Klein, Jared (ed.). The Collected Writings of Warren Cowgill. New York: Beech Stave Press, 2006 (113-53).	Cowgill, Warren (1970). Italic and Celtic Superlatives and the Dialects of Indo-European. In: Klein, Jared (ed.). The Collected Writings of Warren Cowgill. New York: Beech Stave Press, 2006 (113-53).
de-goede-2014-bib-019	D’Arbois de Jubainville, Henri	1881	Les suffixes nominaux du breton moderne en France (dialecte de Léon)	Mémoires de la Société de Linguistique de Paris 4 (277-311).	D’Arbois de Jubainville, Henri (1881). “Les suffixes nominaux du breton moderne en France (dialecte de Léon)”. Mémoires de la Société de Linguistique de Paris 4 (277-311).
de-goede-2014-bib-020	D’Arbois de Jubainville, Henri	1907	Le suffixe gallois -edic.	Revue celtique 18 (144).	D’Arbois de Jubainville, Henri (1907). “Le suffixe gallois -edic.” Revue celtique 18 (144).
de-goede-2014-bib-021	De Coene, Armand	1974	Some notes on Italo-Celtic.	The Bulletin of the Board of Celtic Studies 25/4 (359-68).	De Coene, Armand (1974). “Some notes on Italo-Celtic.” The Bulletin of the Board of Celtic Studies 25/4 (359-68).
de-goede-2014-bib-022	Dottin, Georges	1913	Manuel d'irlandais moyen: grammaire, textes et glossaire. I: Grammaire	 Champion.	Dottin, Georges (1913). Manuel d'irlandais moyen: grammaire, textes et glossaire. I: Grammaire. Paris: Champion.
de-goede-2014-bib-023	Dottin, Georges	1920	La langue gauloise	 Klincksieck.	Dottin, Georges (1920). La langue gauloise. Paris: Klincksieck.
de-goede-2014-bib-024	Dunkel, George	1988-90	Vater Himmels Gattin	Die Sprache 34 (1–26).	Dunkel, George (1988-90). “Vater Himmels Gattin”. Die Sprache 34 (1–26).
de-goede-2014-bib-025	Ernout, Alfred	1941	Senex et les formations en -k- du latin	Bulletin de la Société de Linguistique de Paris 41 (92-128).	Ernout, Alfred (1941). “Senex et les formations en -k- du latin”. Bulletin de la Société de Linguistique de Paris 41 (92-128).
de-goede-2014-bib-026	Ernout, Alfred; Meillet, Antoine	1985	Dictionnaire étymologique de la langue latine: histoire des mots. 4ème edition. Quatrième tirage, par Jacques André	 Klincksieck.	Ernout, Alfred; Meillet, Antoine (1985). Dictionnaire étymologique de la langue latine: histoire des mots. 4ème edition. Quatrième tirage, par Jacques André. Paris: Klincksieck.
de-goede-2014-bib-027	Ernout, Alfred	2002	Morphologie historique du latin	 Klincksieck.	Ernout, Alfred (2002). Morphologie historique du latin. Paris: Klincksieck.
de-goede-2014-bib-028	Falileyev, Alexandre I.	2008	Le Vieux-Gallois	 Université de Potsdam.	Falileyev, Alexandre I. (2008). Le Vieux-Gallois. Potsdam: Université de Potsdam.
de-goede-2014-bib-029	Fleuriot, Léon	1964	Le vieux Breton: éléments d'une grammaire	(diss.).	Fleuriot, Léon (1964). Le vieux Breton: éléments d'une grammaire. Paris (diss.).
de-goede-2014-bib-030	Fränkel, E.	1913	Beiträge zur Geschichte der Adjektiva auf -τικός	Kuhns Zeitschrift für vergleichende Sprachforschung 45 (205-24).	Fränkel, E. (1913). “Beiträge zur Geschichte der Adjektiva auf -τικός”. Kuhns Zeitschrift für vergleichende Sprachforschung 45 (205-24).
de-goede-2014-bib-031	Fruyt, Michèle	1986	Problèmes méthodologiques de dérivation à propos des suffixes latins en... cus	 Klincksieck/Publications de la Sorbonne (Études et Commentaires 99).	Fruyt, Michèle (1986). Problèmes méthodologiques de dérivation à propos des suffixes latins en... cus. Paris: Klincksieck/Publications de la Sorbonne (Études et Commentaires 99).
de-goede-2014-bib-032	Hamp, Eric P.	1969	On verbal adjectives in *-ko-	Indogermanische Forschungen 82 (77-9).	Hamp, Eric P. (1969). “On verbal adjectives in *-ko-”. Indogermanische Forschungen 82 (77-9).
de-goede-2014-bib-033	Hamp, Eric P.	1977-84	Some Italic and Celtic correspondences.	Zeitschrift für vergleichende	Hamp, Eric P. (1977-84). “Some Italic and Celtic correspondences.” Zeitschrift für vergleichende
de-goede-2014-bib-034			Sprachforschung 91 (1977): 240-45; 96 (1982-83): 95-100; 97 (1984): 265-66.		Sprachforschung 91 (1977): 240-45; 96 (1982-83): 95-100; 97 (1984): 265-66.
de-goede-2014-bib-035	Hirt, Hermann	1927	Indogermanische Grammatik	III: Das Nomen. Heidelberg: Carl Winter.	Hirt, Hermann (1927). Indogermanische Grammatik. Teil III: Das Nomen. Heidelberg: Carl Winter.
de-goede-2014-bib-036	Hoffmann, Karl	1955	Ein grundsprachliches Possessivsuffix.	Münchener Studien zur Sprachwissenschaft 6 (35–40).	Hoffmann, Karl (1955). “Ein grundsprachliches Possessivsuffix.” Münchener Studien zur Sprachwissenschaft 6 (35–40).
de-goede-2014-bib-037	Irslinger, Britta	2002	Abstrakta mit Dentalsuffixen im Altirischen	 Winter.	Irslinger, Britta (2002). Abstrakta mit Dentalsuffixen im Altirischen. Heidelberg: Winter.
de-goede-2014-bib-038	Irslinger, Britta	2004	Abstract formations with *-tu- and *-ti- in Old Irish and Indo-European	 Clackson, James; Olsen, Birgit Anette (eds.). Indo-european word formation. Proceedings of the Conference held at the University of Copenhagen October 20th - 22nd 2000. Copenhagen: Museum Tuscalanum, University of Copenhagen (65-90).	Irslinger, Britta (2004). Abstract formations with *-tu- and *-ti- in Old Irish and Indo-European. In: Clackson, James; Olsen, Birgit Anette (eds.). Indo-european word formation. Proceedings of the Conference held at the University of Copenhagen October 20th - 22nd 2000. Copenhagen: Museum Tuscalanum, University of Copenhagen (65-90).
de-goede-2014-bib-039	Irslinger, Britta	2014	The Gender of Abstract Noun Suffixes in the Brittonic Languages	 Neri, Sergio; Schuhmann, Roland (eds.). Studies on the Collective and Feminine in Indo-European from a Diachronic and Typological Perspective. Brill: Leiden [etc.] (57-114).	Irslinger, Britta (2014). The Gender of Abstract Noun Suffixes in the Brittonic Languages. In: Neri, Sergio; Schuhmann, Roland (eds.). Studies on the Collective and Feminine in Indo-European from a Diachronic and Typological Perspective. Brill: Leiden [etc.] (57-114).
de-goede-2014-bib-040	Isaac, Graham R.	2007	Studies in Celtic sound changes and their chronology	 Institut für Sprachen und Literaturen der Universität Innsbruck.	Isaac, Graham R. (2007). Studies in Celtic sound changes and their chronology. Innsbruck: Institut für Sprachen und Literaturen der Universität Innsbruck.
de-goede-2014-bib-041	Jacques, André	1973	Les Composés en -gena, -genus.	Revue de philologie 47 (7–30).	Jacques, André (1973). “Les Composés en -gena, -genus.” Revue de philologie 47 (7–30).
de-goede-2014-bib-042	Jasanoff, Jay	1997	An Italo-Celtic isogloss: the 3 pl. mediopassive in *-ntro	In: Adams, D. Q. (ed.). Festschrift for Eric P. Hamp. Vol. I. Washington, D.C.: Institute for the Study of Man (146-161).	Jasanoff, Jay (1997). “An Italo-Celtic isogloss: the 3 pl. mediopassive in *-ntro”. In: Adams, D. Q. (ed.). Festschrift for Eric P. Hamp. Vol. I. Washington, D.C.: Institute for the Study of Man (146-161).
de-goede-2014-bib-043	Jordán Cólera, Carlos	1998	Introducción al Celtibérico	 Universidad de Zaragoza.	Jordán Cólera, Carlos (1998). Introducción al Celtibérico. Zaragoza: Universidad de Zaragoza.
de-goede-2014-bib-044	Joseph, Lionel S.	1986	A survival from the Italo-Celtic legal vocabulary.	Ériu 37 (119-25).	Joseph, Lionel S. (1986). “A survival from the Italo-Celtic legal vocabulary.” Ériu 37 (119-25).
de-goede-2014-bib-045	Kortlandt, Frederik	1981	More evidence for Italo-Celtic	Eriu 32 (1-23).	Kortlandt, Frederik (1981). “More evidence for Italo-Celtic”. Eriu 32 (1-23).
de-goede-2014-bib-046	Kortlandt, Frederik	2007	Italo-Celtic origins and prehistoric development of the Irish language	[etc.]: Rodopi.	Kortlandt, Frederik (2007). Italo-Celtic origins and prehistoric development of the Irish language. Amsterdam [etc.]: Rodopi.
de-goede-2014-bib-047	Krahe, Hans; Meid, Wolfgang	1967	Germanische Sprachwissenschaft. III: Wortbildungslehre	 Walter de Gruyter.	Krahe, Hans; Meid, Wolfgang (1967). Germanische Sprachwissenschaft. III: Wortbildungslehre. Berlin: Walter de Gruyter.
de-goede-2014-bib-048	Lambert, Pierre-Yves	2006	Gaulois et Celtique Continental. Genève: Droz.		Lambert, Pierre-Yves (2006). Gaulois et Celtique Continental. Genève: Droz.
de-goede-2014-bib-049	Lehmann, Winfred P.	1997a	Early Celtic among the Indo-European dialects	Zeitschrift für celtische Philologie 49-50/1 (440-54).	Lehmann, Winfred P. (1997a). “Early Celtic among the Indo-European dialects”. Zeitschrift für celtische Philologie 49-50/1 (440-54).
de-goede-2014-bib-050	Lehmann, Winfred P.	1997b	Frozen Residues and Relative Dating	 Dexter, Miriam Robbins; Polomé, Edgar C. (eds.). Varia on the Indo-European Past: Papers in Memory of Marija Gimbutas. Washington D.C.: Institute for the Study of Man (223–46).	Lehmann, Winfred P. (1997b). Frozen Residues and Relative Dating. In: Dexter, Miriam Robbins; Polomé, Edgar C. (eds.). Varia on the Indo-European Past: Papers in Memory of Marija Gimbutas. Washington D.C.: Institute for the Study of Man (223–46).
de-goede-2014-bib-051	Leskien, August	1891	Die Bildung der Nomina im Litauischen	 S. Hirzel.	Leskien, August (1891). Die Bildung der Nomina im Litauischen. Leipzig: S. Hirzel.
de-goede-2014-bib-052	Leumann, Manu	1918	Die Adjektiva auf -icius	Glotta 9 (129-67).	Leumann, Manu (1918). “Die Adjektiva auf -icius”. Glotta 9 (129-67).
de-goede-2014-bib-053	Leumann, Manu	1977	Lateinische Laut- und Formenlehre	1977 der 1926-1928 in 5. Auflage erschienenen Lateinische Laut- und Formenlehre. München: Beck.	Leumann, Manu (1977). Lateinische Laut- und Formenlehre. Neuausgabe 1977 der 1926-1928 in 5. Auflage erschienenen Lateinische Laut- und Formenlehre. München: Beck.
de-goede-2014-bib-054	Lewis, Henry; Pedersen, Holger	1937	A concise comparative Celtic grammar. Göttingen: Vandenhoeck & Ruprecht.		Lewis, Henry; Pedersen, Holger (1937). A concise comparative Celtic grammar. Göttingen: Vandenhoeck & Ruprecht.
de-goede-2014-bib-055	Lottner, C.	1861	Celtisch-italisch.	Beiträge zur vergleichenden Sprachforschung auf dem Gebiete der Arischen, Celtischen und Slawischen Sprachen 2 (309-321).	Lottner, C. (1861). “Celtisch-italisch.” Beiträge zur vergleichenden Sprachforschung auf dem Gebiete der Arischen, Celtischen und Slawischen Sprachen 2 (309-321).
de-goede-2014-bib-056	Lühr, Rosemarie (ed.)	2008	Nominale Wortbildung des Indogermanischen in Grundzügen	Wortbildungsmuster Ausgewählter Indogermanischer Einzelsprachen. Band 1: Latein, Altgriechisch. Hamburg: Dr. Kovač.	Lühr, Rosemarie (ed.) (2008). Nominale Wortbildung des Indogermanischen in Grundzügen. Die Wortbildungsmuster Ausgewählter Indogermanischer Einzelsprachen. Band 1: Latein, Altgriechisch. Hamburg: Dr. Kovač.
de-goede-2014-bib-057	Marstrander, Carl J.S.	1929	De l’unité italo-celtique.	Norsk tidsskrift for sprogvidenskap 3 (241- 59).	Marstrander, Carl J.S. (1929). “De l’unité italo-celtique.” Norsk tidsskrift for sprogvidenskap 3 (241- 59).
de-goede-2014-bib-058	Martinet, André	1955	Le couple senex - senatus et le ‘suffixe’ -k-.	Bulletin de la Société de linguistique de Paris 51 (42-56).	Martinet, André (1955). “Le couple senex - senatus et le ‘suffixe’ -k-.” Bulletin de la Société de linguistique de Paris 51 (42-56).
de-goede-2014-bib-059	Matasović, Ranko	2009	Etymological Dictionary of Proto-Celtic	[etc.]: Brill.	Matasović, Ranko (2009). Etymological Dictionary of Proto-Celtic. Leiden [etc.]: Brill.
de-goede-2014-bib-060	Matras, Yaron	2014	Why is the borrowing of inflectional morphology dispreferred? To appear in: Amiridze, Nino; Arkadiev, Peter (eds.)	morphology. Berlin: Mouton De Gruyter.	Matras, Yaron (2014). Why is the borrowing of inflectional morphology dispreferred? To appear in: Amiridze, Nino; Arkadiev, Peter (eds.). Borrowed morphology. Berlin: Mouton De Gruyter.
de-goede-2014-bib-061			Meid, Wolfgang (1955-7) “Zur Dehnung praesuffixaler Vokale in sekundären Nominalableitungen.”		Meid, Wolfgang (1955-7) “Zur Dehnung praesuffixaler Vokale in sekundären Nominalableitungen.”
de-goede-2014-bib-062			Indogermanische Forschungen 62 (1955-6) 260-95, 63 (1957) 1-28.		Indogermanische Forschungen 62 (1955-6) 260-95, 63 (1957) 1-28.
de-goede-2014-bib-063	Meid, Wolfgang	1957	Das Suffix *-no- in Götternamen.	Beiträge zur Namenforschung 8 (72-108, 113-26).	Meid, Wolfgang (1957). “Das Suffix *-no- in Götternamen.” Beiträge zur Namenforschung 8 (72-108, 113-26).
de-goede-2014-bib-064	Meillet, Antoine	1905	Études sur l'étymologie et le vocabulaire du vieux slave. II: Formation des noms	 Émile Bouillon.	Meillet, Antoine (1905). Études sur l'étymologie et le vocabulaire du vieux slave. II: Formation des noms. Paris: Émile Bouillon.
de-goede-2014-bib-065	Meillet, Antoine	1933	Esquisse d’une histoire de la langue latine, 3rd. ed. (1st 1928)	 Hachette.	Meillet, Antoine (1933). Esquisse d’une histoire de la langue latine, 3rd. ed. (1st 1928). Paris: Hachette.
de-goede-2014-bib-066	Meillet, Antoine	1950	Les dialectes indo-européens	edition (first 1908). Paris: Champion.	Meillet, Antoine (1950). Les dialectes indo-européens. Third edition (first 1908). Paris: Champion.
de-goede-2014-bib-067	Morris-Jones, John	1913	A Welsh grammar, historical and comparative	 Clarendon.	Morris-Jones, John (1913). A Welsh grammar, historical and comparative. Oxford: Clarendon.
de-goede-2014-bib-068	Nussbaum, Alan J.	1999	Jodicus	account of the Latin adjectivus in -idus. In: Eichner, H.; Luschützsky, H. Chr. (eds.). Compositiones indogermanicae in memoriam Jochem Schindler. Prague: Enigma Corporation (421-35).	Nussbaum, Alan J. (1999). Jodicus. An account of the Latin adjectivus in -idus. In: Eichner, H.; Luschützsky, H. Chr. (eds.). Compositiones indogermanicae in memoriam Jochem Schindler. Prague: Enigma Corporation (421-35).
de-goede-2014-bib-069	Olsen, Birgit Anette	1999	The noun in Biblical Armenian: origin and word-formation - with special emphasis on the Indo-European heritage	[etc.]: Mouton de Gruyter.	Olsen, Birgit Anette (1999). The noun in Biblical Armenian: origin and word-formation - with special emphasis on the Indo-European heritage. Berlin [etc.]: Mouton de Gruyter.
de-goede-2014-bib-070	Olsen, Birgit Anette; Rasmussen, Jens Elmegård	1999	Indo-European *-to/-tu/-ti: A case of phonetic hierarchy	 Eichner, H.; Luschützsky, H. Chr. (eds.). Compositiones indogermanicae in memoriam Jochem Schindler. Prague: Enigma Corporation (421-35).	Olsen, Birgit Anette; Rasmussen, Jens Elmegård (1999). Indo-European *-to/-tu/-ti: A case of phonetic hierarchy. In: Eichner, H.; Luschützsky, H. Chr. (eds.). Compositiones indogermanicae in memoriam Jochem Schindler. Prague: Enigma Corporation (421-35).
de-goede-2014-bib-071	Olsen, Birgit Anette	2003a	Another account of the Latin adjectives in -idus.	Historische Sprachforschung 116 (234-75).	Olsen, Birgit Anette (2003a). “Another account of the Latin adjectives in -idus.” Historische Sprachforschung 116 (234-75).
de-goede-2014-bib-072	Olsen, Birgit Anette	2003b	Fresh shoots from a vigorous stem: IE *uiH1ró	 Bauer, Brigitte L.M.; Pinault, Georges-Jean (eds.). Language in Time and Space: A Festschrift for Werner Winter on the Occasion of His 80th Birthday. Berlin: Mouton de Gruyter (313-29).	Olsen, Birgit Anette (2003b). Fresh shoots from a vigorous stem: IE *uiH1ró. In: Bauer, Brigitte L.M.; Pinault, Georges-Jean (eds.). Language in Time and Space: A Festschrift for Werner Winter on the Occasion of His 80th Birthday. Berlin: Mouton de Gruyter (313-29).
de-goede-2014-bib-073	Olsen, Birgit Anette	2009	How many noun suffixes did Proto-Indo-European have?	Rasmussen, Jens Elmegård; Olander, Thomas (eds.). Internal reconstruction in Indo-European: Methods, results, and problems. Copenhagen: Museum Tusculanum (187-204).	Olsen, Birgit Anette (2009). How many noun suffixes did Proto-Indo-European have? In: Rasmussen, Jens Elmegård; Olander, Thomas (eds.). Internal reconstruction in Indo-European: Methods, results, and problems. Copenhagen: Museum Tusculanum (187-204).
de-goede-2014-bib-074	Olsen, Birgit Anette	2010	Derivation and composition: two studies in Indo-European word formation	 Institut für Sprachen und Literaturen der Universität Innsbruck.	Olsen, Birgit Anette (2010). Derivation and composition: two studies in Indo-European word formation. Innsbruck: Institut für Sprachen und Literaturen der Universität Innsbruck.
de-goede-2014-bib-075	Pedersen, Holger	1909-1913	Vergleichende Grammatik der keltischen Sprachen. I: Einleitung und Lautlehre. II: Bedeutungslehre (Wortlehre). Göttingen: Vandenhoeck und Ruprecht.		Pedersen, Holger (1909-1913). Vergleichende Grammatik der keltischen Sprachen. I: Einleitung und Lautlehre. II: Bedeutungslehre (Wortlehre). Göttingen: Vandenhoeck und Ruprecht.
de-goede-2014-bib-076	Pinault, Georges-Jean	2007	A Star Is Born: A “New” PIE *-ter- Suffix	 Nussbaum, Alan J. (ed.). Verba Docenti. Studies in Historical and Indo-European Linguistics Presented to Jay H. Jasanoff by Students, Colleagues, and Friends. Ann Arbor [etc.]: Beech Stave (271-279).	Pinault, Georges-Jean (2007). A Star Is Born: A “New” PIE *-ter- Suffix. In: Nussbaum, Alan J. (ed.). Verba Docenti. Studies in Historical and Indo-European Linguistics Presented to Jay H. Jasanoff by Students, Colleagues, and Friends. Ann Arbor [etc.]: Beech Stave (271-279).
de-goede-2014-bib-077	Pokorny, J.	1959-1969	Indogermanisches etymologisches Wörterbuch	[etc.]: Francke.	Pokorny, J. (1959-1969). Indogermanisches etymologisches Wörterbuch. Bern [etc.]: Francke.
de-goede-2014-bib-078	Porzig, Walter	1954	Die Gliederung des indogermanischen Sprachgebiets	 Winter.	Porzig, Walter (1954). Die Gliederung des indogermanischen Sprachgebiets. Heidelberg: Winter.
de-goede-2014-bib-079	Press, Ian	1986	A Grammar of Modern Breton	[etc.]: Mouton de Gruyter.	Press, Ian (1986). A Grammar of Modern Breton. Berlin [etc.]: Mouton de Gruyter.
de-goede-2014-bib-080			Quin, Ernest G. et al. (ed.) (2007) [1913-75]	of the Irish Language, Based Mainly on Old and Middle Irish Materials. Dublin: Royal Irish Academy.	Quin, Ernest G. et al. (ed.) (2007) [1913-75]. Dictionary of the Irish Language, Based Mainly on Old and Middle Irish Materials. Dublin: Royal Irish Academy.
de-goede-2014-bib-081	Rasmussen, Jens Elmegård	1989	Studien zur Morphophonemik der indogermanischen Grundsprache	 Institut für Sprachwissenschaft der Universität Innsbruck.	Rasmussen, Jens Elmegård (1989). Studien zur Morphophonemik der indogermanischen Grundsprache. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck.
de-goede-2014-bib-082	Rau, Jeremy	2009	Indo-European Nominal Morphology: The Decads and the Caland System	 Institut für Sprachen und Literaturen der Universität Innsbruck.	Rau, Jeremy (2009). Indo-European Nominal Morphology: The Decads and the Caland System. Innsbruck: Institut für Sprachen und Literaturen der Universität Innsbruck.
de-goede-2014-bib-083	Rix, Helmut	1992	Historische Grammatik des Griechischen: Laut und Formlehre. 2. Auflage	 Wissenschaftliche Buchgesellschaft.	Rix, Helmut (1992). Historische Grammatik des Griechischen: Laut und Formlehre. 2. Auflage. Darmstadt: Wissenschaftliche Buchgesellschaft.
de-goede-2014-bib-084	Roparz, Hemon	1975	A Historical Morphology and Syntax of Breton	 The Dublin Institute for Advanced Studies.	Roparz, Hemon (1975). A Historical Morphology and Syntax of Breton. Dublin: The Dublin Institute for Advanced Studies.
de-goede-2014-bib-085	Rubenhauer, Hans	1977	Lateinische Grammatik	[etc.]: Oldenbourg.	Rubenhauer, Hans (1977). Lateinische Grammatik. Bamberg [etc.]: Oldenbourg.
de-goede-2014-bib-086	Russell, Paul	1988	The suffix -āko- in Continental Celtic.	Études celtiques 25 (131-73).	Russell, Paul (1988). “The suffix -āko- in Continental Celtic.” Études celtiques 25 (131-73).
de-goede-2014-bib-087	Russell, Paul	1990	Celtic word-formation: the velar suffixes	 Dublin Institute for Advanced Studies.	Russell, Paul (1990). Celtic word-formation: the velar suffixes. Dublin: Dublin Institute for Advanced Studies.
de-goede-2014-bib-088	Russell, Paul	1995	An Introduction to the Celtic Languages	[etc.]: Longman.	Russell, Paul (1995). An Introduction to the Celtic Languages. London [etc.]: Longman.
de-goede-2014-bib-089	Schmidt, Karl Horst	1992a	Contributions from New Data to the Reconstruction of the Proto- language	 Polomé, Edgar; Winter, Werner (eds.). Reconstructing Languages and Cultures. Berlin [etc.]: Mouton de Gruyter (35–62).	Schmidt, Karl Horst (1992a). Contributions from New Data to the Reconstruction of the Proto- language. In: Polomé, Edgar; Winter, Werner (eds.). Reconstructing Languages and Cultures. Berlin [etc.]: Mouton de Gruyter (35–62).
de-goede-2014-bib-090	Schmidt, Karl Horst	1992b	Latein und Keltisch: Genetische Verwandtschaft und areale Beziehungen	 Panagl, Oswald; Krisch, Thomas (eds.). Latein und Indogermanisch:Akten des Kolloquiums der Indogermanischen Gesellschaft, Salzburg, 23.-26. September 1986. Innsbruck: Institut für Sprachwissenschaft (29-51).	Schmidt, Karl Horst (1992b). Latein und Keltisch: Genetische Verwandtschaft und areale Beziehungen. In: Panagl, Oswald; Krisch, Thomas (eds.). Latein und Indogermanisch:Akten des Kolloquiums der Indogermanischen Gesellschaft, Salzburg, 23.-26. September 1986. Innsbruck: Institut für Sprachwissenschaft (29-51).
de-goede-2014-bib-091	Schrijver, Peter	1990	Latin festināre, Welsh brys	Münchener Studien zur Sprachwissenschaft 51 (243-247).	Schrijver, Peter (1990). “Latin festināre, Welsh brys”. Münchener Studien zur Sprachwissenschaft 51 (243-247).
de-goede-2014-bib-092	Schrijver, Peter	1995	Studies in British Celtic historical phonology	[etc.]: Rodopi.	Schrijver, Peter (1995). Studies in British Celtic historical phonology. Amsterdam [etc.]: Rodopi.
