item,reconstruction_or_headword,gloss,attestations,notes,external_comparanda,discussion
11,*dʰeh₁-,"‘to place, make’","Hit. dai-, CLuw tūwa-, Lyc. ta-; Toch. A tā-, Toch. B tättā-; Lat. -dere; OEng. dōn > do; Lith. de ́ti; OCS dĕti; Gr. τίθημι; Ved. dádhati.","A central and basic verbal root, it can safely be reconstructed for the oldest layers of PIE.","Afro-Asiatic: *day > e.g. Egyptian wdy ‘put’ Kartvelian: *dew- ‘lie, put, lay’ > e.g. Georgian dew-/dw-, Svan d-","The semantic nature of the item crossed with its simple structure makes external connections easy to propose, yet difficult to substantiate (cf. deh₃- ‘give’, item 8). Such is the case with the evidence from Afro-Asiatic (Bomhard 1981: 410, 2008: 150ff.), and so, too, with the Kartvelian connection suggested by Gamkrelidze & Ivanov (1995: 774). In the case of the latter, Bomhard ties it to a whole different root (2008: 150ff.), of course with the aim to establish Nostratic cognate sets, which brings the comparison beyond the scope of the present paper."
12,*dʰenh₂-,‘to flow’,"Toch. A tsnāntär (3rdpl. subj.), Toch. B tsnamo ‘flowing’; Lat. fōns ‘fountain’; (?)Celtiberian uer-đoniti; Gr. ἒθανον (aor.) ‘died’; Ved. dhani- (caus.)","Secure cognates are found already in Tocharian (Adams 2013: 813) and continued through the Latin nominal derivation, Greek, where euphemism has caused a semantic drift akin to modern English pass away (Hollifield 1978: 181), onto Vedic, which all testify to an ancient PIE root, despite the lack of Anatolian cognates. The etymology of the Celtiberian form is contested (cf. LIV2: 144f. fn.8 and Eska 1989: 116f.), but of no real stratificational consequence.","Kartvelian: *dn- ‘to melt, thaw’ > e.g. Svan n-, Mingrelian din, dən ‘to disappear, get lost’","Proposed by Gamkrelidze & Ivanov (1995: 774), there is still a semantic gap to overcome, but especially the semantics in Mingrelian (Fähnrich 2007: 135f. and Klimov 1998: 41f.) may provide a slender connection. With old moorings in PIE, a loan relation, if viable, seems most probable in the direction into Kartvelian, but the lack of laryngeal reflexes seems suspicious, and the connection altogether dubious."
13,*dʰeubʰ-,‘deep’,"Toch. A tpär ‘high’, Toch. B tapre ‘id.’; Goth. diups; Welsh dwfn; Lith. dubùs; OCS dŭbrĭ ‘gorge’; (?)Gr. βυθός; Ill. δύβρις","Despite the seemingly opposite semantic value of Tocharian, the drift is theoretically possible and internal derivation from before the actual shift is visible in the diminutive tparske ‘shallow’, actually ‘little deep’ (Normier 1980: 260, Adams 2013: 298f.). The Greek form has been attempted connected through metathesis of the inherited obstruents, but while the historical treatment has been inconclusive (cf. Frisk 1960: 276, Chantraine 1968: 201), Beekes prefers a substrate origin (2010: 247f.). Regardless of the Greek provenance, this root may convincingly be posited for early middle PIE.",Uralic: FU *tüwä Yukaghir: *čow-,The formal resemblance is not obvious and is best scrutinized in the framework of the Indo-Uralic or Nostratic hypotheses (cf. Kaiser & Shevoroshkin 1986: 371); compare then PIE *dʰ- with Uralic *t- and Yukaghir *č.
14,*dʰoHn-,‘grain’,"(?)Hit. dannas ‘kind of food’, (?)Luw. tannas ‘id.’; Toch. B tāno; Lith. dúona ‘bread’; Ved. dhāna-, Av. dāna.","Adams considers the earlier suggestion to derive it from the verbal root *dʰeh₁- ‘put, place’, but concedes it as semantically strained (2013: 303). The identity of the Anatolian forms with the rest of the IE stock is tentatively suggested by Watkins (1965: 121), somewhat substantiated by the meaning in Lithuanian, but other, more immediate, alternatives likely reject the comparison (cf. Tischler 1991: 99).","Semitic: *dúχn- ‘millet’ (Dolgopolsky 1987: 15, 1989: 5)","Orel & Stolbova connects the Semitic root to Central Chadic *dwan- ‘corn’ (1995: 166), adding credibility to an Afro-Asiatic origin. Diakonoff remains sceptical pending further knowledge of the importance of ‘millet’ in the diet (1985: 127), and the comparison may further be questioned by the semantic drift required to fit the IE attestations. The connection is attractive in light of the spread of agriculture, but remains inconclusive."
15,*díg-,‘goat’,OHG ziga; Alb. dhi ‘fem. g.’; Gr. (Hes.) δίζα; Arm. tik ‘hide’; Ishkashimi (East Iranian) dec ‘goatskin bag’,"The Greek form is problematic and requires either a glide to palatalize the velar, or, as has been suggested, the form in Hesychius, originally ascribed to Laconian, may rightfully be attributed to one of the lesser known IE Balkan languages, Thracian or Illyrian (Frisk 1960: 390ff.). All the data combined, this reconstruction still fails to paint the picture of a central PIE item, although proto-status certainly is possible.","NE Caucasian: *t Vq V > e.g. Ingush t ɨq o HU: Hurrian taɣə ‘man (male person)’ Kartvelian: *dqa > Georgian txa, Svan daq-","The IE material does not seem to be particularly strong and lacks cognates in the decisive ancient branches. Proposed as a borrowing by Gamkrelidze & Ivanov (1995: 774) and Nichols (1997: 146), the exact nature of the reconstruction in Kartvelian is debated (cf. Fähnrich 2007: 125), but the Northeast Caucasian material does help establish the form in the region. The semantics of the Hurrian material questions its appurtenance, but a final rejection pends further illumination of the internal relationship. Ultimately, this item belongs in the very same category as the synonyms (items 21, 40, and 73, cf. § 6.5.5.2) and be ascribed to a loan into the later strata of PIE."
16,*ĝemH-,‘son-in-law’,"Lat. gener; Alb. dhëndërr; Gr. γαμβρός; Av. zāmātar, Ved. jāmātā-, jāra- ‘suitor’.","A connection with Gr. γαμέω ‘marry’ seems inevitable (Frisk 1960: 287ff.), which, however, only echoes the questionable vocalism of Gr. -α- as opposed to Lat. -e-. The solution proposed by Beekes at least requires different Ablaut stages, and likely also influence from other roots (2008: 259). Connecting the forms with Hit. LÚkaina- ‘in-law, kinsman’ (ibid.) is untenable (Kloekhorst 2008a: 427), so neither Anatolian nor Tocharian cognates can be posited.","NE Caucasian: *c ́amV 'bridegroom' > Lezgian c ̣̌am, Tabasaran ǯam (Dolgopolsky 1989: 27) Kartvelian: *kmar- ‘husband’ (Gamkrelidze & Ivanov 1995: 775)","The evidence in NE Caucasian for a Proto-Indo-Iranian borrowing is stronger than for ‘father-in-law’ (item 121) given the vocalism, which also nullifies the possibility of a same-strata exchange for the two items. The root has PIE status (Mallory & Adams 1997: 85) and was conceivably transferred to NE Caucasian by Proto-Indo-Iranian (Dolgopolsky 1989: 27), but it is very likely that the proper PIE formation postdates the departure of Anatolian (and possibly also Tocharian). The Kartvelian, or, rather, Georgian-Zan as there is no Svan cognate (cf. Klimov 1998: 216 and Fähnrich 2007: 468f.), forms need rather be compared to a sufficiently early stage of PIE (or, alternatively, a centum branch), or, perhaps most tantalizing, the ultimate origin of the term."
17,*ĝenu-,"‘chin, jaw(-bone)’","Toch. A śanwe-ṃ (du.); OIr. gin; Goth. kinnus; Gr. γένυς; Phr. α-ζήν ‘beard’; Ved. hanu-, Av. zanva (acc. du.).","The problematic velar reflexes in Indo-Iranian formally require *ĝh, which has been proposed as “Homoionymenflucht”, i.e. dissimilation from *ĝonu- ‘knee’ (item 20) with which it was colliding in the Indo-Iranian vowel collapse of *e and *o to a (Mayrhofer 1996: 801f.), although *-o- in ‘knee’ is lengthened due to the effects of Brugmann’s Law.",NE Caucasian: *č̣ ănV ‘chin’ (NCED s.v.),"S. Starostin makes no distinction as to the stage of transfer (2009: 85), but the palatal development of an inherited plain velar in front of a front vowel is a strong argument in favor of a dialectal loan from a stage of Indo-Iranian into NE Caucasian (Dolgopolsky 1987: 19), and, if the vowel reconstructed by Nikolayev & Starostin is to be preferred to Dolgopolsky’s cover symbol, the vocalism helps substantiate a loan with the hallmark traits of Indo-Iranian (§ 1.3.2.13)."
18,*ĝhor-io-,‘pig’,Alb. derr ‘pig’; Gr. χοῖρος ‘piglet’.,"Slight irregularities in Albanian does not challenge the ultimate adherence to the Greek form (Demiraj 1997: 131f.), but the uniqueness of the two Balkan forms cause Beekes to suggest an unspecified substrate origin for the term (2010: 1640f.). Possibly derived from the noun *ĝher- ‘bristle’ (Mallory & Adams 1997: 425), this word is obviously an innovation and cannot be projected back onto PIE proper.","Kartvelian: Georgian-Zan *γor- > Georgian γor-, Mingrelian, Laz γeǯ- (Fähnrich 2007: 491f.) Afro-Asiatic: Chadic *γr","Tentatively posited by Gamkrelidze & Ivanov as a mutually dialectal loan relation (1995: 774 fn.15), this connection suffers from sporadic attestations in both IE and Kartvelian. An ostensible connection must consequently be assigned to a late stratum, likely dialectal, which is geographically difficult. Alternatively, Kaiser & Shevoroshkin suggest ancient relations to Afro-Asiatic, notably without Semitic cognates (1986: 378 fn.8), but the lack of PIE continuation makes a tentative connection to agricultural substrate preferable."
19,*ĝl̥h₃-(wos),‘sister-in-law’,. Lat. glōs; OCS zŭlŭva; Gr. γάλως; Phryg. (Hes.) γελλαρος; Arm. tal; Skr. giri-,"Sanskrit giri- is not formally compatible with the other satəm representation, OCS zŭlŭva, and it has been suggested that the velar contamination in Indic stems from the (secondary) association with giriká- ‘mouse’ (for a concise treatment of this widespread type of affiliation with references, see Martirosyan 2010: 799f.). No Anatolian and Tocharian cognates establish the item for late middle PIE.","Uralic: *kälV- (UEW) or *käliw (Koivulehto 1994: 140) Yukaghir: kel’il ‘any relation through marriage’ (Nikolaeva 2006: 205) Semitic: *kall-at- ‘daughter-in-law, bride’ Kartvelian: Georg. kal- ‘female’","Widespread reflexes of this item across Eurasia lends credibility to an ancient Wanderwort, if not, as Illič-Svityč infers (1971: 295ff., where also Turkic *kälin and some Dravidian forms are included), ultimately Nostratic. Koivulehto considers the Uralic forms borrowed from PIE (1994:140), but the IE material cannot conclusively be extended to the oldest strata without Anatolian and Tocharian evidence, so the item may have spread culturally into late middle PIE either before its ultimate dissolution or, perhaps, even as slightly differentiated dialects; cf. how the northwesternmost branches (Germanic, Celtic, and Baltic) do not partake in this lexical isogloss either. The lack of strong reflexes in the Caucasian languages is noteworthy considering its linguistic spread and how often comparanda from the region otherwise come up within this particular sphere (cf. § 6.5.7). Gamkrelidze & Ivanov include the Semitic item (1995:834), and according to Orel & Stolbova Afro-Asiatic cognates exist in Western Chadic *kalya- ‘woman’ and perhaps also Hausa kōlō ‘daughers’ (1995:310), but, given the formal likeness between PIE and Semitic and the specific semantics of a quintessential lexical item of cultural exchange, the external northern affinities seem stronger. A Semitic origin of the term would demand the feminine formation *-(a)t (Lipińsky 1997: 230f.) to show up in the recipient languages, making it all the more plausible that Semitic received the term from an outside source and only secondarily fitted it with the feminine suffix (cf. also Militarev 2006: s.v. ‘daughter-in-law’). The very sporadic Kartvelian comparandum, cf. the Georgian example kal-c ul ‘girl’, where c ul means ‘baby’ (Klimov 1998: 316), is similarly semantically weak, already conceded as “doubtful” by Illič-Svityč when he included it in the stock (1971: 295ff.)."
20,*ĝónu-,‘knee’,"Hit. gēnu; Toch. A kanw-, Toch. B kenī-ne (du.); Lat. genū; OIr. glūn; Goth. kniu; Alb. kju; Gr. γόνυ; Arm. cunr; Ved. ja ́nu-, Av. zānu-.","It may be observed that different Ablaut and derivational formations are needed to account for all of the attestations, most notably the subsequently metathesized *-l-derivations of Old Irish and Albanian, but the age of this item is beyond reproach, missing only in Balto-Slavic. The connection to *ĝenu- ‘chin, jaw(-bone)’ (item 17) proposed by Mallory & Adams (1997: 336) is warranted both formally and semantically for the ‘bend’ both body parts represent.",Uralic: FU *kińä > e.g. Fin. kyynär ‘elbow’ (Helimski 2001: 197 fn.24),"The distribution, only in the Fenno-Ugric languages to the exclusion of Samoyedic, as well as some internal inconsistencies question a truly old item in Uralic, but further connections may be found in the Tungusic languages of Siberia and northern China, cf. *k͑ǖńče(n) ‘elbow’ (UEW 158), which lends credibility to a widespread lexeme and that the lack of Samoyedic evidence is a consequence of loss rather than innovation in the West. These northern comparanda require the mending of the semantic gap between ‘elbow’ and ‘knee’, which is hardly insurmountable; there is no strong evidence for a single item for ‘elbow’ in PIE, cf. Mallory & Adams (1997: 176). Although there can be no discussion of its ancient status within PIE, this suggested comparandum is very difficult to stratify; body parts are strange lexemes to wander, and there is no obvious phonological or semantic point of tangency between any reconstructed stages of (P)IE and Uralic. These observations combined suggest that the relation, if viable, predates the PIE horizon."
21,*gʰaid-o-,‘goat’,"Lat. haetus ‘young g., kid’; Germ. *gait- > ON geit, Goth. gaits.","The connection of the Latin and Germanic forms seem beyond reproach, but remain isolated as a European regionalism. a-vocalism similarly makes a PIE origin of this item unlikely (Dolgopolsky 1987: 16).","Afro-Asiatic: Semitic *gadi̯- > Arab. jadyun, Heb. ge𝛿ī Afro-Asiatic: Berber aġăyd NE Caucasian: Proto-Nakh *gāʒa, Lak gada ‘kid’","The Semitic and IE correspondence is difficult to ignore, but whereas Dolgopolsky considers it a direct loan from Proto-Semitic into PIE (1987: 14), Kroonen proposes a (likely extinct and unattested) third party origin for both, ultimately stemming from waves of early agriculturalists that first introduced the term to Semitic and later into European IE from an already present adstrate (2013: 163ff.).The dearth of proper PIE evidence affects both theories, but less detrimentally the latter. Nichols’ analysis of the NE Caucasian forms as old dialectal borrowings due to the internal inconsistencies (1997:129) seems to corroborate the adstrate hypothesis; it is noteworthy, however, that Nikolayev & Starostin reconstructs a Proto-NC *gēʒ́wV that would remove the Caucasian item from comparison with PIE and Afro-Asiatic. It seems callous to posit the root for PIE proper and invites further inquiry into the ancient relations of European IE and its agricultural prehistory (cf. *h₁ln̥bh-‘lamb’, item 36, for a similar correspondence between Germanic and NE Caucasian)."
22,*ĝhalgʰo-,‘pole’,OHG galgo; Lith. žalgà; Arm. jałk.,"Despite formal problems with the second velar, the Armenian form surely belongs to the set (Martirosyan 2010: 429f.). Such a very limited distribution of the term is hardly conducive for a reconstruction dating to the earlier strata of PIE.",Uralic: FU *śalka-,"It seems strange that Koivulehto prefers ascribing this word to PIE proper (2001: 238) rather than a dialectal continuant hereof, given the limited distribution within Uralic. Regional distribution of this term within IE likewise questions the claim of a truly ancient borrowing (cf. Kroonen 2013: 165). Phonetically, this word resembles *śata- ‘hundred’ which is traditionally considered a borrowing from early Indo-Iranian on account of the palatal treatment of the initial PIE palato-velar as well as the a-vocalism. Such an origin for this case is, obviously, unattractive without Indo-Iranian cognates, but the fact remains that there is no evidence suggesting great antiquity for the relation. A substrate word from an unknown source in Northern Europe could be defended in the same stratum as *kond-u- ‘hand’ (item 77), although the connection with Armenian then requires special attention. The great resemblance between Lithuanian and Fenno-Ugric thus makes a dialectal borrowing most likely."
23,*gʰebʰ-,‘to give’,Goth. giban,"Only positively attested in Germanic, Kroonen (2013: 172f.) rejects both the traditional connection with Old Irish gaibid ‘to take, hold’ (Pokorny 1959: 407ff.), on formal grounds, and the more recent association with Lithuanian gebù ‘to be able’ (LIV2: 193) for lack of semantic compatibility, from which the Celtic connection evidently also suffers. Stronger ties to a PIE complex with the same specific meaning was introduced by Kortlandt, viz. the verbal root *h₁ep- (1992: 104f.), that in Germanic requires prefixation, possibly then connected with Latin co-ēpī ‘seized’, and further conflation to be comparable with the bulk of IE evidence, e.g. Hittite epzi ‘to take, seize’. Either the form is isolated in Germanic, at best northern Europe, or, with Kortlandt, its PIE provenance barely recognizable.",HU: Hurrian giban 'to bring',"Fournet & Bomhard are responsible for the connection (2010: 111), but since the form is problematic already within IE and few would argue in favor of a unique Germano-Hurrian isogloss, chance resemblance seems the obvious point of tangency between the geographically and temporally displaced languages."
24,*gʰel-u(H)-,‘turtle’,"RusCS želvĭ; Gr. χέλυς ‘t., chest cavity’","While Vasmer considers the Slavic forms derived from a verbal root ‘to bend’ (1955: 414f.), the Greek forms are significantly more contested (cf. Frisk 1966: 1086f.), and Beekes even prefers substrate origin (2010: 1623ff.).",Kartvelian: *γl-az1- 'crocodile’,"The scattered yet very concretely matched IE evidence does lend credibility to external origins, but the Kartvelian comparandum does not match semantically. The comparison, suggested by Smitherman (2012: 510), is unfocused and draws on a proposed common verbal root ‘twist, turn’ (cf. Fähnrich 2007: 488f.) that would render the animal derivations secondary anyhow. Further circumstantial evidence may bolster future attempts, but the connection seems quite improbable."
