entry_id	lemma_1_gh_orth	gloss	pos	entry_status	lemma_1_pre_orth	lemma_1_pre_root
91810	vezugvénā	personal epithet lit. 'good woman'	noun (name)	draft		
91811	údros	otter	noun	canon		
93332	vamβom	mushroom	noun	draft		
93822	angleβorós	ember-bearer	noun	draft		
94570	arktorḗks	royal epithet, lit. ‘bear-king’	noun (name)	draft		
94975	parí	in front of, before	adp	draft		
95404	teutoválkvos	personal name, lit. 'people/nation wolf'	noun (name)	draft		
95637	vezuvirós	personal epithet lit. 'good man'	noun (name)	draft		
96149	koimonóman	home-name	noun	draft		
97127	katuválkvos	personal name, lit. 'battle-wolf; warrior name'	noun (name)	draft		
97134	anglóm	ember	noun	draft		
98933	valkvorḗks	royal epithet lit. wolf-king	noun (name)	draft		
98939	megṓ	great one, mighty one, eminence, lord				
99237	ganrós	known, familiar	adj	draft	ǵn̥h₃rós	
99629	sámðos	sand	noun	draft	sámh₂dʰos	
	maglos	great, mighty, awesome	adj			
	ɣeslám	thousand	num			
