entry_id	gh_lemma_1_orth	gh_lemma_1_ipa	gh_lemma_1_ipa_test	gh_lemma_2_orth	gh_lemma_2_ipa	gh_lemma_2_ipa_test	gloss	gloss_register_note	pos	pos_subtype	nom_stem_class	noun_gender	verb_thematicity	verb_stem_type	lemma_1_pre_root	lemma_1_pre_root_status	lemma_1_pre_ety	lemma_1_pre_ipa	lemma_2_pre_ety	lemma_2_pre_ipa	lemma_3_pre_ety	lemma_3_pre_ipa	entry_status	entry_formation_type	entry_historical_type	entry_source(s)	source_notes	note	cog_Celtic	cog_Germanic	cog_Italic	cog_Greek	cog_Sanskrit	cog_Baltic	cog_Slavic	cog_Armenian	cog_Albanian	cog_Anatolian	cog_Tocharian	key_forms	derived_forms	compounds	semantic_field	semantic_subfield	register	synonyms	antonyms	example_sentences	cross_references	lit_mountain	lit_ring	lit_schleicher	lit_strasbourg	swadesh_207	sound_changes	r0-1	r0-2	r0-3	r0-4	r1-1	r1-2	r1-3	r1-4	r1-5	r1-6	r1-7	r1-8	r1-9	r1-10	r1-11	r2-1	r2-2	r2-3	r2-4	r2-5	verb_derivation
15838	sékvetor	ˈse.kʷe.tor	untested	sékvontor	ˈse.kʷon.tor	untested	to be following		verb				thematic	root			sékʷetor		sékʷontor				draft	simplex	inherited																		Motion	Locomotion																																
15921	βā́gos	ˈβaː.gos	untested	βā́gozio	ˈβaː.go.z͡jo	untested	"oath, pledge, promise"		noun		o	m						ˈbʰeh₂.gos					canon		inherited																		Law	Oaths and contracts																																
16044	penkveɣimós	pen.kʷe.ɣi.ˈmos	untested	penkveɣimos	pen.kʷe.ɣi.mo.z͡jo	untested	five year old (lit. five winter)		adj		o/ā												draft																				Quantity	Age reckoning																																
16136	kaptós	kap.ˈtos	untested	kaptozio	kap.ˈto.z͡jo	untested	"captured, imprisoned, enslaved"		adj		o/ā						kaptós	kap.ˈtos					canon		inherited																		Law	Justice and bondage																																
16246	upér	u.ˈper	untested			untested	over		adp						uper		upér						canon		inherited																		Spatial relations	Adpositions																																
16440	dṓt	ˈdoːt	untested	dónt	ˈdont	untested	gave		verb				athematic	root aorist	deh₃		déh₃t		*dh₃ént				canon	simplex	inherited		"root aorist (secondary endings, no -i); first past tense form in the lexicon; h₃ colors e→o then H-B2 gives ō in sg; pl h₃ between C and V colors and drops; expected in dedicatory inscriptions (""X gave this to Y""); present counterpart dídōti (#426)"	"root aorist (secondary endings, no -i); first past tense form in the lexicon; h₃ colors e→o then H-B2 gives ō in sg; pl h₃ between C and V colors and drops; expected in dedicatory inscriptions (""X gave this to Y""); present counterpart dídōti (#426)"															Basic actions and technology	Giving and taking					dídōti						h₃ coloring e→o; H-B2 oh₃ before C → ō (sg); H-A + H-B3 in pl																					
17054	meliménezā	me.li.ˈme.ne.zaː	untested	meliménezās	me.li.ˈme.ne.zaːs	untested	"personal name, lit. 'honey-mind / honey-thought'"		noun (name)		ā	f											draft	compound	innovation																		Names	Personal names																																
17178	aketā́	a.ke.ˈtaː	untested	aketā́s	a.ke.ˈtaːs	untested	harrow		noun		ā	f			h₂eḱ		h₂oḱetéh₂						canon		inherited	Ringe 2017	instrument/tool noun; *h₂ > ∅ word-initially; *ḱ > k		*okketā > W. ocet		*oketā > Lat. occa												Basic actions and technology	Farming																																
17249	ɣvérīskos	ˈɣʷe.riː.skos	untested	ɣverīskozio	ˈɣʷe.riː.sko.z͡jo	untested	having to do with wild animals		adj		o/ā				ǵʰwer		ǵʰweriiskos						canon		inherited																		Animals	Animal qualities																																
17353	pérkus	ˈper.kus	untested	perkóus	per.ˈko͡ws	untested	oak		noun		u	m			perk		pérkus						hold		inherited																		Agriculture and vegetation	Trees												1													1							
17442	ɣímos	ˈɣi.mos	untested	ɣimozio	ɣi.mo.z͡jo	untested	winter		noun		o	m					ǵʰimos						draft																				Time	Seasons																																
17489	vózrī	ˈwo.z͡riː	untested	vozriiā́s	wo.z͡ri.jaːs	untested	female personification of Spring		noun		ī/iā	f			wes								draft	derivation	innovation																		Time	Seasons																																
17505	teutā́	te͡w.ˈtaː	untested	teutā́s	tej.ˈtaːs	untested	"people, tribe"		noun		ā	f											draft		inherited																		Social and political relations	Groups																																
17616	staðlóm	stað.ˈlom	untested	staðlózio	stað.ˈlo.z͡jo	untested	"stable, stall"		noun		o	n			steh₂		sth₂dʰlóm		sth₂dʰlósyo				draft	simplex	inherited																		The house	Shelter																																
17718	dídōti	ˈdi.doː.ti	untested	dídonti	ˈdi.don.ti	untested	to give		verb				athematic	Ce-reduplicated	deh₃		dídeh₃ti		*dídh₃enti				canon	simplex	inherited		"reduplicated athematic present; sg/pl ō~o alternation from h₃ coloring + laryngeal resolution (sg: VH before C → V̄; pl: h₃ colors e→o then drops); first reduplicated athematic in lexicon; cf. Skt. dádāti, Gk. dídōmi, Lat. dat (< *dh₃-ti root aor.); aorist counterpart dṓt (#427)"	"reduplicated athematic present; sg/pl ō~o alternation from h₃ coloring + laryngeal resolution (sg: VH before C → V̄; pl: h₃ colors e→o then drops); first reduplicated athematic in lexicon; cf. Skt. dádāti, Gk. dídōmi, Lat. dat (< *dh₃-ti root aor.); aorist counterpart dṓt (#427)"	*da-		"Lat. do, dare"												Basic actions and technology	Giving and taking					dṓt					to give	h₃ coloring e→o; H-B2 oh₃ before C → ō (sg); H-A + H-B3 in pl																					
18645	amβi	am.βi	untested	—	—	untested	around		adv								h₂m̥bʰi						draft	simplex	inherited				*ambaxto-	*ambahta-													Spatial relations	Adpositions																																
18730	séɣos	ˈse.ɣos	untested	séɣezos	ˈse.ɣe.zos	untested	force; hegemony		noun		s	n			seǵʰ		séǵʰos						canon		inherited				*sego-	*drauga-													Social and political relations	Power																																
18843	pū́r	ˈpuːr	untested	punés	pu.ˈnes	untested	fire		noun		r/n	n			peh₂w		puh₂r						canon		inherited																		The physical world	Fire										fire																						
19067	véits	ˈwe͡jts	untested	vités	wi.ˈtes	untested	"watcher, seer"		noun		root noun	mf			weyd		woydtis						draft		inherited																		Sense perception	Sight					véideti; danvivéits																											
19156	arktiiós	ark.ti.ˈjos	untested	arktiózio	ark.ti.ˈjo.z͡jo	untested	"bear-like, having to do with bears"																stub																																																					
19222	venís	we.ˈnis	untested	venéis	we.ˈne͡js	untested	boyfriend/girlfriend; lover		noun		i	mf			wenh₁		wénh₁is						canon		inherited																		Social and political relations	Social roles																																
20163	sḗman	ˈseː.man	untested	saméns	sa.ˈmens	untested	seed		noun		man/mén-	m			seh₁		séh₁mn̥						canon		inherited					*seda-													Agriculture and vegetation	Farming										seed										1							1					
20200	moldéieti	molˈde.je.ti	untested	moldéionti	mol.ˈde.jon.ti	untested	melt (make melt)		verb				thematic	*-éye/o-	(s)meld		moldéyeti	mol.de.je.ti	*moldéyonti	mol.de.jon.ti			draft	simplex	inherited					*smeltan-													Basic actions and technology	Making and crafting																																causative
20452	vópsā	ˈwop.saː	untested	vópsās	ˈwop.saːs	untested	wasp		noun		ā	f						wóbʰ.seh₂					canon		inherited																		Animals	Insects																																
20494	vérgom	ˈwer.gom	untested	vergozio	wer.go.z͡jo	untested	work		noun		o	n			werǵ		wérǵom						canon		inherited				*werga														Basic actions and technology	Making and crafting																																
20563	ganṓti	ga.ˈnoː.ti	untested	ganónti	ga.ˈnon.ti	untested	"know, recognize"		verb				athematic	nasal-infix	ǵneh₃		ǵn̥néh₃ti		ǵn̥nh₃énti				draft	simplex	inherited		athematic nasal infix present; 4/4 branches kept root; PItal + PC preserve nasal element; Sanskrit jānā́ti independently confirms formation		OIr ad·gnin (nasal present	"*kunnaną (pret.-pres., remodeled"	(g)nōscō (< *ǵn̥nh₃sḱeti	γιγνώσκω	jānā́ti	Lith žinóti	OCS znati								Cognition	Knowledge					talnā́ti					to know	eh₃→ō (H-A o-coloring + H-B2 lengthening)	1															1					
20683	dā́nu	ˈdaː.nu	untested	dānvóus	daːn.ˈwo͡ws	untested	"flowing water, river"		noun		u	f			deh₂n		deh₂nu						canon	simplex	inherited		semantically 'free-flowing water' as opposed to contained/well water; base noun for Dānwī class						"dānu- (stream, fluid"								dā́nvī		The physical world	Water					dā́nvī; udṓr; sakrovéstrom					1																						
20793	skválos	ˈskʷa.los	untested	skválozio	ˈskʷa.lo.z͡jo	untested	large fish or whale; sea monster		noun		o	m						skʷá.los					canon		inherited																		Animals	Sea creatures																																
20904	datós	da.ˈtos	untested	datozio	da.ˈto.z͡jo	untested	given		adj		o/ā						dh₃tós		dh₃tósyo				draft	simplex	inherited																		Speech and language	Naming																																
20911	péruti	ˈpe.ru.ti	untested			untested	"last year, a year ago"		adv								péruti						draft						*feruti	*ferudi													Time	Temporal qualities																																
21139	óuðar	ˈo͡w.ðar	untested	ūðanes	uː.ða.ˈnes	untested	udder; breast		noun		r/n	n			h₁ewdʰ		h₁ówdʰr̥						canon		inherited																		The body	Torso and trunk										breast																						
21168	vrā́ts	ˈrʷaːts	untested	vardés	war.ˈdes	untested	root		noun		root noun	f			wreh₂d		wréh₂ds						draft		inherited				*wrida		Lat. riialX												Agriculture and vegetation	Plant parts										root																						
21193	mā́tēr	ˈmaː.teːr	untested	matrés	ma.ˈtres	untested	mother		noun		r	f			meh₂		meh₂tēr						canon		inherited				*matir	*moder-	Lat. mater												Kinship	Core kin										mother																						
21323	gvīvós	gʷiː.wos	untested	gvīvózio	gʷiː.wo.z͡jo	untested	"alive, living"		adj		o/ā				gʷeyh₃		gʷih₃-w-ós						canon		inherited																		Emotions and values	Life and death																																
21388	pótnī	ˈpot.niː	untested	potniiā́s	pot.ni.ˈjaːs	untested	wife		noun		ī/iā	f			pot		pótnih₂						hold		inherited																		Kinship	Marital relations										wife																						
21571	βarkiéti	βar.ki.ˈje.ti	untested	βarkiónti	βar.ki.ˈjon.ti	untested	"to cram, crowd, pack"		verb				thematic	*-ye/o-	bʰr̥kʷ	review_zero_grade_or_stem	bʰr̥kʷyéti						canon	simplex	inherited																		Basic actions and technology	Physical manipulation																																
21750	óinos	ˈoj.nos	untested	óinozio	ˈoj.no.z͡jo	untested	one		num		o/ā				h₁ey		h₁óynos						canon		inherited																		Quantity	Cardinal numbers										one																						
21775	kléitrā	ˈklej.traː	untested	kléitrās	ˈklej.traːs	untested	"shelter, covering"		noun		ā	f			ḱley			ḱléy.treh₂					canon		inherited																		The house	Shelter																																
21838	káneti	ˈka.ne.ti	untested			untested	to sing		verb				thematic	root	kh2an		kh2an-e-ti						draft	simplex	inherited																													1																						
22267	ðélgos	ˈðel.gos	untested	ðélgezos	ˈðel.ge.zos	untested	"pin, needle"		noun		s	n			dʰelg		dʰélgos	ˈdʰel.gos					canon		inherited				*delgo-		Lat. falx is most probably a loanword from												Basic actions and technology	Tools																																
22334	iévos	ˈje.wos	untested	iévezos	ˈje.we.zos	untested	"cereal, grain; barley, spelt"		noun		s	n			yew		yéwos						canon		inherited																		Food and drink	Foods																																
22357	élkos	ˈel.kos	untested	élkezos	ˈel.ke.zos	untested	"illness, disease, infirmity"		noun		s	n			elk		élkos						canon		inherited																		The body	Health and illness																																
22559	légeti	ˈle.ge.ti	untested	légonti	ˈle.gon.ti	untested	"to gather, collect"		verb				thematic	root	leǵ		léǵeti		léǵonti				draft	simplex	inherited		"thematic root present from *leǵ- 'gather, collect'; centum ǵ→g; agent noun logós used in compounds (ognologós)"														ognologós		Basic actions and technology	Physical manipulation					ognologós; ógnos							1																				
22742	kaɣíom	ka.ˈɣi.om	untested	kaɣíozio	ka.ˈɣi.o.z͡jo	untested	enclosure		noun		o	n											canon																				Agriculture and vegetation	Farming																																
23171	skéltrom	ˈskel.trom	untested	skéltrozio	ˈskel.tro.z͡jo	untested	axe		noun		o	n			skelH		skélHtrom		skélHtrosyo				draft	derivation	innovation																		Warfare and hunting	Weapons																																
23429	tarzús	tar.ˈzus	untested	tarzú	tar.ˈzu	untested	dry		adj		u				ters		tr̥sús						canon		inherited					*persan-													The physical world	Substance qualities										dry																						
23585	svézōr	ˈswe.zoːr	untested	suzrés	suz.ˈres	untested	sister		noun			f			swezōr	review_base_not_root	swézōr						hold		inherited																		Kinship	Core kin																																
23612	ðarzús	ðar.ˈzus	untested	ðarzú	ðar.ˈzu	untested	bold		adj		u				dʰers		dʰr̥sús						canon	simplex	inherited																		Emotions and values	Virtue and character																																
23909	kvetvartós	kʷe.twar.ˈtos	untested	kvetvartózio	kʷe.twar.ˈto.z͡jo	untested	fourth		num		o/ā				twer		kʷetwr̥tós						canon		inherited																		Quantity	Ordinal numbers																																
23919	svépnos	ˈswep.nos	untested	svépnozio	ˈswep.no.z͡jo	untested	sleep		noun		o	m					swépnos		swépnosyo				draft	simplex	inherited																		Cognition	Sleep																																
24003	sanī	sa.ˈniː	untested	saniiā́s	sa.ni.ˈjaːs	untested	menstrual blood		noun		ī/iā	f			h₁sh₂en		h₁sh₂énih₂						hold		inherited																		The body	Bodily substances																																
24016	alβós	al.ˈβos	untested	alβózio	al.ˈβo.z͡jo	untested	white		adj		o/ā				h₂elbʰ		h₂elbʰós						canon	simplex	inherited																		The physical world	Color										white																						
24054	mantís	man.ˈtis	untested	mantéis	man.ˈte͡js	untested	"thought, mind"		noun		i	f			men		mn̥tís		mn̥téys				draft	simplex	inherited																		Cognition	Mind																																
24130	ármos	ˈar.mos	untested	ármozio	ˈar.mo.z͡jo	untested	arm		noun		o	m			h₂erm		h₂r̥mós						canon	simplex	inherited					*arma-	Lat. armus 'shoulder'												The body	Limbs and extremities																																
24347	ménos	ˈme.nos	untested	ménezos	ˈme.ne.zos	untested	mind		noun		s	n			men								canon																				Cognition	Mind																																
24548	léuðertūts	ˈlew.ðer.tuːts	untested	leuðertūtes	ˈlew.ðer.tuː.tes	untested	"freedom, autonomy"		noun		ts/tés	f			h₁leudʰ		h₁léudʰertuh₂ts						canon		inherited																		Law	Freedom																																
24647	vanī́	wan.ˈiː	untested	vaniiā́s	wa.ni.ˈjaːs	untested	"pleasure, lust, indulgence"		noun		ī/iā	f			wenh₁		wn̥h₁yeh₂						canon		inherited																		Emotions and values	Affect																																
25004	klutonóman	klu.to.ˈno.man	untested	klutonoméns	klu.to.no.ˈmens	untested	reputation-name; fame-name; epithet of the especially famous or infamous		noun		man/mén-	n											draft	compound	innovation		"klutós 'heard, famous' + nóman 'name'; a datonóman that has achieved wide currency; implies the bearer is known beyond their immediate community"																Social organization	Name types					nóman; klutós; klévos; datonóman																											
25087	kalnís	kal.ˈnis	untested	kalnís	kal.ˈne͡js	untested	hill		noun		i	m			kelH	review_zero_grade_or_stem	kl̥Hnís		kl̥Hnéis				canon		inherited																		The physical world	Landscape																																
25127	pṓklom	ˈpoː.klom	untested	pōklozio	poː.klo.z͡jo	untested	drinking cup		noun		o	n			peh₃		péh₃tlom						canon		inherited				*fatna		Lat. bibo												Food and drink	Beverages																																
25194	βarɣús	βar.ˈɣus	untested	βarɣóus	βar.ˈɣo͡ws	untested	high		adj		u				bʰerǵʰ		bʰr̥ǵʰús	bʰr̥.ˈǵʰus	bʰr̥ǵʰews	bʰr̥.ˈǵʰe͡ws			hold		inherited																		The physical world	Landscape																																
25346	meliménos	me.li.ˈme.nos	untested	meliménozío	me.li.ˈme.no.z͡jo	untested	"personal name, lit. 'honey-mind / honey-thought'"		noun (name)		o	m											draft	compound	innovation																		Names	Personal names																																
25506	óngvōl	ˈon.gʷoːl	untested	anglés	an.ˈgles	untested	ember	religious	noun		l/n	n			h₁engʷ		h₁óngʷl̥						canon	simplex	inherited																		Religion and belief	Ritual																																
25604	dṓnom	ˈdoː.nom	untested	dṓnozio	ˈdoː.no.z͡jo	untested	gift		noun		o	n			deh₃		déh₃nom						canon	simplex	inherited				*danu-		Lat. donum												Possession	Gifts and exchange																																
25783	génos	ˈge.nos	untested	génezos	ˈge.ne.zos	untested	family		noun		s	n			ǵenh₁		ǵénh₁os						canon		inherited				*genos-		Lat. genus												Kinship	Lineage																																
26022	dekamtós	de.kam.ˈtos	untested	dekamtozio	de.kam.ˈto.z͡jo	untested	tenth		num		o/ā				deḱ		deḱm̥tós	de.km̥.ˈtos					canon	simplex	inherited																		Quantity	Ordinal numbers																																
26162	krépos	ˈkre.pos	untested	krépezos	ˈkre.pe.zos	untested	"dead body, corpse, cadaver (taboo)"		noun		s	n						ˈkré.pos					canon		inherited																		The body	Body (whole)																																
26171	sakrós	sak.ˈros	untested	sakrózio	sak.ˈro.z͡jo	untested	"sacred, holy, set apart"		adj		o/ā				seh₂k		sh₂krós						canon		inherited		adjectival base for westrom sakrom (descriptive: 'a sacred place') and compound sakrowestrom (institutional: 'a sanctuary'); see Woman in the Well				"sacer (Latin), sacra (Umbrian"												Religion and belief	Ritual					sakrovéstrom; véstrom; térman																											
26521	snéikos	ˈsne͡j.kos	untested	sniɣvés	ˈsne͡j.ke.zos	untested	snow		noun		s	n			sneygʷʰ								draft		inherited																		The physical world	Weather										snow																						
26617	néβos	ˈne.βos	untested	néβezos	ˈne.βe.zos	untested	cloud		noun		s	n			nebʰ		nébʰos						canon		inherited				*nemos-	*nebula-	"Osc. ner; Lat. nebula f. 'id.', Olr."												The physical world	Weather										cloud																						
26858	katús	ka.ˈtus	untested	katóus	ka.ˈto͡ws	untested	"battle, fight"		noun		u	f			kat	review_base_not_root		ḱh₃.ˈtus					hold		inherited																		Warfare and hunting	Combat																																
