ancestral_corpus,atu,tale_title,secure_ge_70
Proto-Italo-Celtic,425C,Beauty and the Beast,false
Proto-Italo-Celtic,500,Supernatural Helper,false
Proto-Italo-Celtic,501,The Three Old Spinning Women,false
Proto-Italo-Celtic,505,The Grateful Dead,false
Proto-Italo-Celtic,531,The Clever Horse,false
Proto-Italo-Celtic,554,The Grateful Animals,true
Proto-Italo-Celtic,592,The Dance Among Thorns,false
Proto-Italo-Celtic,650A,Strong John,false
Proto-Italo-Celtic,675,The Lazy Boy,false
Proto-Romance,307,The Princess in the Coffin,true
Proto-Romance,311,Rescue by Sister,true
Proto-Romance,315,The Faithless Sister,true
Proto-Romance,328,The Boy Steals Ogre’s Treasure,true
Proto-Romance,330,The Smith and the Devil,true
Proto-Romance,331,The Spirit in the Bottle,false
Proto-Romance,332,Godfather Death,true
Proto-Romance,402,The Animal Bride,true
Proto-Romance,425C,Beauty and the Beast,true
Proto-Romance,425E,The Enchanted Husband,true
Proto-Romance,470,Friends in Life and Death,true
Proto-Romance,471A,The Monk and the Bird,false
Proto-Romance,500,Supernatural Helper,false
Proto-Romance,501,The Three Old Spinning Women,false
Proto-Romance,505,The Grateful Dead,true
Proto-Romance,510,Cinderella and Peau d’Âne,false
Proto-Romance,510B,Peau d’Asne,true
Proto-Romance,531,The Clever Horse,true
Proto-Romance,554,The Grateful Animals,true
Proto-Romance,570,The Rabbit-Herd,false
Proto-Romance,592,The Dance Among Thorns,true
Proto-Romance,650A,Strong John,true
Proto-Romance,675,The Lazy Boy,true
Proto-Romance,710,Our Lady’s Child,false
Proto-Celtic,311,Rescue by Sister,false
Proto-Celtic,328,The Boy Steals Ogre’s Treasure,false
Proto-Celtic,330,The Smith and the Devil,true
Proto-Celtic,332,Godfather Death,false
Proto-Celtic,402,The Animal Bride,false
Proto-Celtic,471A,The Monk and the Bird,false
Proto-Celtic,500,Supernatural Helper,false
Proto-Celtic,501,The Three Old Spinning Women,false
Proto-Celtic,554,The Grateful Animals,true
Proto-Celtic,570,The Rabbit-Herd,false
Proto-Celtic,592,The Dance Among Thorns,false
Proto-Germanic,311,Rescue by Sister,true
Proto-Germanic,314A,The Shepherd and the Giants,false
Proto-Germanic,328,The Boy Steals Ogre’s Treasure,true
Proto-Germanic,330,The Smith and the Devil,true
Proto-Germanic,331,The Spirit in the Bottle,false
Proto-Germanic,332,Godfather Death,true
Proto-Germanic,361,Bear Skin,false
Proto-Germanic,365,The Dead Bridegroom,true
Proto-Germanic,425C,Beauty and the Beast,true
Proto-Germanic,461,Three Hairs,false
Proto-Germanic,470,Friends in Life and Death,true
Proto-Germanic,471A,The Monk and the Bird,true
Proto-Germanic,500,Supernatural Helper,true
Proto-Germanic,501,The Three Old Spinning Women,true
Proto-Germanic,505,The Grateful Dead,true
Proto-Germanic,562,The Spirit in the Blue Light,false
Proto-Germanic,565,The Magic Mill,false
Proto-Germanic,570,The Rabbit-Herd,false
Proto-Germanic,591,The Thieving Pot,true
Proto-Germanic,592,The Dance Among Thorns,true
Proto-Germanic,650A,Strong John,true
Proto-Germanic,660,The Three Doctors,false
Proto-Germanic,675,The Lazy Boy,false
Proto-Balto-Slavic,307,The Princess in the Coffin,true
Proto-Balto-Slavic,311,Rescue by Sister,true
Proto-Balto-Slavic,312D,Rescue by the Brother,true
Proto-Balto-Slavic,314A*,Animal Helper in the Flight,true
Proto-Balto-Slavic,315,The Faithless Sister,true
Proto-Balto-Slavic,318,The Faithless Wife,false
Proto-Balto-Slavic,321,Eyes Recovered from Witch,true
Proto-Balto-Slavic,328,The Boy Steals Ogre’s Treasure,true
Proto-Balto-Slavic,330,The Smith and the Devil,true
Proto-Balto-Slavic,331,The Spirit in the Bottle,false
Proto-Balto-Slavic,332,Godfather Death,true
Proto-Balto-Slavic,334,Household of the Witch,true
Proto-Balto-Slavic,361,Bear Skin,false
Proto-Balto-Slavic,363,The Corpse-Eater,false
Proto-Balto-Slavic,365,The Dead Bridegroom,true
Proto-Balto-Slavic,402,The Animal Bride,true
Proto-Balto-Slavic,409,The Girl as Wolf,true
Proto-Balto-Slavic,425C,Beauty and the Beast,true
Proto-Balto-Slavic,425M,The Snake Bridegroom,true
Proto-Balto-Slavic,460B,The Journey,false
Proto-Balto-Slavic,461,Three Hairs,false
Proto-Balto-Slavic,470,Friends in Life and Death,true
Proto-Balto-Slavic,471A,The Monk and the Bird,false
Proto-Balto-Slavic,475,The Man as the Heater,false
Proto-Balto-Slavic,500,Supernatural Helper,true
Proto-Balto-Slavic,501,The Three Old Spinning Women,true
Proto-Balto-Slavic,505,The Grateful Dead,true
Proto-Balto-Slavic,510B,Peau d’Asne,false
Proto-Balto-Slavic,519,The Strong Woman as Bride,false
Proto-Balto-Slavic,531,The Clever Horse,false
Proto-Balto-Slavic,554,The Grateful Animals,true
Proto-Balto-Slavic,562,The Spirit in the Blue Light,false
Proto-Balto-Slavic,565,The Magic Mill,true
Proto-Balto-Slavic,570,The Rabbit-Herd,false
Proto-Balto-Slavic,575,The Prince’s Wings,false
Proto-Balto-Slavic,592,The Dance Among Thorns,true
Proto-Balto-Slavic,650A,Strong John,true
Proto-Balto-Slavic,660,The Three Doctors,false
Proto-Balto-Slavic,665,The Man who Flew and Swam,false
Proto-Balto-Slavic,672,The Serpent’s Crown,true
Proto-Balto-Slavic,673,The White Serpent’s Flesh,false
Proto-Balto-Slavic,675,The Lazy Boy,true
Proto-Balto-Slavic,710,Our Lady’s Child,false
Proto-Balto-Slavic,735,The Rich and the Poor Man,false
Proto-Balto-Slavic,735A,Bad Luck Imprisoned,true
Proto-Balto-Slavic,736,Luck and Wealth,false
