headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
COVER	compelling	*tog-ī- (OIr. tuigithir ‘covers’)	*þakjan- (ON þekja, OE þeccan, OS bi-thekkia, OHG decken ‘to cover’)	L263, IEW 1013-1014, EDPC 376, EDPG 531-532	MO	IE (0)	IE	0	Celtic and Germanic uniquely share a formation *tog-eie- of the PIE root *(s)teg-, cf. Lat. tegere ‘to cover’. This may be a causative-iterative formation inherited from PIE. Assuming independent creations seems less likely in view of the isolation of the verbal root in C and G.	page:22
CROOKED	compelling	*krumbo- (MIr. cromm, W crwm, B kromm, Co. crom ‘bent, curved, crooked’)	*krum(b/p)a- (OE crump, OS krumb, OHG krumpf ‘bent, crooked’)	EDPC 227, EDPG 307	MO	GCL (III-IV)	GCL	III-IV	The Celtic words are probably borrowed from Germanic and not vice versa, because the Germanic adjective may belong in a cluster with PG *krimpan- ‘to shrink’. Formally, the borrowing may have been post-PG, but the widespread distribution within Celtic makes prehistoric borrowing likely.	page:22
CUT	compelling	*snad-o- (OIr. snaidid ‘cuts, chips, hews, carves’, W naddu ‘to chip, cut’)	*snadwō- (OHG snatta ‘weal, scar’)	L262, IEW 972-973, KPV 594-5, EDPC 348, H62	RT	IE? (0), L (I)	IE? (0), L	I	A CG *snadʰ- may be reconstructed. The G suffix *-wō- looks archaic, making late borrowing into Germanic unlikely, as does the difference in usage as a verb and noun in C and G, respectively.	page:22
DARE	compelling	*n(e/a)nti- (OIr. néit ‘battle’)	*ninþan- (OHG gi-nindan ‘to dare’), *nanþjan- (Go. ana- nanþjan ‘to dare, take courage’, ON nenna ‘to be willing’, OE nēðan ‘to have courage, dare’)	L248, EPDC 283, H40, EDPG 383, 391	RT/MO	IE? (0)	IE?	0	A CG root *nent- may be adduced. The root connection with ToA nati ‘might, strength’, ToB nete ‘power’ is uncertain and hinges on the CG root being reduplicated *ne-nt. Even then, a morphological Celto-Germanicism remains.	page:23
DEBT	compelling	*dlig-o- (OIr. dligid ‘is entitled to, is owed’, W dylyaf ‘to be obliged, owe, ought’, B dleout ‘should’)	*dulga- (Go. dulgs ‘debt’)	L245, Kr136, KPV 281-3, EDPC 101, Pronk-Tiethoff 2012, 142, EDPG 108	RT	IE? (0), L (I)	IE? (0), L	I	A CG root *dʰlgʰ- may be reconstructed, whose root structure conforms to Indo-European root constraints. Despite its lexical isolation, it must be old in view of the regularity of vocalization of the resonant in both branches. Outside of Germanic and Celtic, the word is found in Slavic, cf. OCS dlъgъ, Ru. dolg, SCr. dȗg ‘debt’. However, the Slavic word appears to have been borrowed from Germanic in view of dial. Bulgarian dǎlg, dlǎg ‘debt’, which must go back to a borrowed PSl. *dъlgъ with a back yer (an inherited front yer would be expected to yield an occasional palatal reflex in South Slavic, as it does in PSl. *dьlgъ ‘long’ > Bulgarian dlek, dlik beside dǎlg, dlǎg). The Slavic accent paradigm, C instead of expected A, may be due to adoption of the word by Slavic as a mobile u-stem. B dellit ‘to merit’ adduced by Lane is unrelated.	page:23
DISTANT COUSIN	compelling	*kom-neϕot- (MW keifn, W caifn ‘third or distant cousin’, MB quifniant ‘distant cousin’), *kom-neϕtī- (W cyfnither, MB queniteru ‘first cousin (female)’)	*ga-nefan- (OE ge-nefa ‘nephew; son of a cousin’)		MO	IE (0), L (I)	IE (0), L	I	A CG compound *kom-nepot- may be reconstructed. However, since the prefix *kom- may have been productive in kinship terms, cf. Lat. con-sobrīnus ‘mother’s sister’s son, cousin’ < *kom-suesr-iHno-, independent formation in Celtic and Germanic cannot be excluded.	page:23
ENCLOSURE	compelling	*dūno- (OIr. dún, W din, OB din, Co. dyn ‘fort’)	*tūna- (ON tún ‘enclosure, home field, town’, OE tūn ‘yard; town’, OFri. tūn ‘fence, enclosure’, MLG tūn ‘fence’)	L247, Kr124, 140, IEW 261-267, Pl283, EDPC 108, H51, EDPG 526, Ko12	MO	CGL (II)	CGL	II	The C is from PIE *dʰuH-no(s)-, which is perhaps related to Lat. fūnus, -eris ‘burial’ < ?’mound’. It was probably borrowed from Celtic into Germanic before the G consonant shifts. G probably preserves the original semantics, which means the meaning ‘fort’ must have arisen late within Celtic.	page:23
FAT	compelling	*tegu- (MIr. tiug ‘thick, dense, solid’, W tew, B tev ‘fat’)	*þeku- (ON þykkr, OE þicce, OHG dicki ‘fat, thick’)	L263, IEW 1013-1014, EDPC 377, EDPG 537	MO	IE? (0)	IE?	0	A shared and possibly archaic formation *tegu- may be posited, a formally and semantically perfect isogloss consisting of a u-stem adjective exclusively found in Celtic and Germanic. It has been suggested that the meaning ‘dense, thick’ developed from ‘to cover’ in view of the potential formal link with *teg- ‘to cover’. However, in view of semantic parallels such as G dicht machen ‘to seal, close’, the meaning ‘dense, tight’ may be archaic.	page:23
FATHOM	compelling	*ϕatamV- (W edef, pl. adafedd ‘thread, yarn’, and with secondary palatalization, ScG aitheamh ‘fathom’)	*faþma- (ON faðmr, OE fæðm, OHG fadam, fadum ‘fathom’, OS fathmos ‘two stretched arms’)	L248, IEW 824-825, Bjorvand & Lindeman 2000, 248- 249, H84, EDPG 132	MO	IE (0)	IE	0	The Welsh paradigm of edef, pl. adafedd points to PC *ϕatamī, pl. *ϕatamii̯ās, although some remodeling of the i-affection in the singular must be proposed; the expected MW form is **edeif. ScG aitheamh points to PC *ϕatimā if taken at face value, but it is possible that that the palatalization is secondary. Hence a common PC form *ϕatamV- may be reconstructed. This may be compared to PG *faþma- < *poth2-mV-, to PIE *peth2- ‘to spread (the arms)’. For the meaning ‘thread’ in W, cf. G Faden.	page:23
FEAR	compelling	*āg-ī- (OIr. -ágadar ‘fears’)	*agan-, 3sg. pret.-pres.*ōge (Go. ogan ‘to fear’)	L257, KPV 206-10, LIV² 257, EDPC 26, EDPG 3	MO	IE (0)	IE	0	Both branches continue a reduplicated perfect form of *h2egʰwith the shared meaning ‘fear’ as opposed to e.g., Gr. ἄχνυμαι ‘I am sad’. It is uncertain whether the shared reduplication is significant: reduplication is the expected form of perfects in PIE, so this may well be archaic. The assumption of an archaism is further supported by the Germanic verb being a preteritepresent, an otherwise moribund category.	page:23
FIERCE	compelling	*abro- (MIr. abar-, amar-, W afr- ‘very’)	*abra- (Go. abrs ‘great, severe’, ON afar- ‘very, exceedingly’)	L258, IEW 2, EDPG 1	LX	IE? (0), CGL (I/III), GCL (I-III)	IE? (0), CGL (I/III), GCL	I-III	A CG *abʰro- or *apró- may be reconstructed, perhaps from PIE *h2ep-ró- (cf. Skt. ápara- ‘posterior, later; extreme, strange’ < *h2ep-ero-). This could be an early shared innovation or borrowing at any stage. The word is attested as a free lexeme only in Germanic, which could mean it may have spread from here. The connection, as suggested by Lane, between the Germanic and Ir. óbar, úabar ‘vanity’, Wofer ‘worthless, vain’, B euver ‘bland’ < PC *aubero- is formally impossible.	page:24
FIGHT	compelling	*uik-o- (OIr. fichid, W amwyn ‘to fight, contend, seize’)	*wihan- (Go. waihan*, weihan, ON vega, OE wīgan, OHG wīgan ‘to fight, do battle’)	L247, Kr136, IEW 1128, KPV 683-8, LIV² 670, EDPC 421, H35, EDPG 586, Ko10	MO	IE (0)	IE	0	Celtic and Germanic uniquely share a zero-grade thematic present of the PIE stem *ueik-. This so-called tudáti-verbal type is moribund in Germanic, so the CG formation is likely to be archaic. The meaning ‘to fight’ is Celto-Germanic, but Lat. vincō ‘win, conquer’ appears close enough to dismiss a semantic isogloss, especially in light of W amwyn, which may mean ‘to seize’ as well as ‘to fight’.	page:24
FLOOR	compelling	*ϕlāro- (OIr. lár ‘ground, surface, middle’, MW llawr, B leur ‘floor, ground’)	*flōra- (ON flórr ‘floor of a cowshed’, OE flōr ‘floor’, OHG fluor ‘field’)	L250, Kr140, IEW 805-807, Pr119, EDPC 132, H82, EDPG 148, Ko12	MO/SM	IE (0), L (I)	IE (0), L	I	Celtic and Germanic uniquely expand the PIE root *pleh2- ‘flat; to spread’ with *-ro- to create the meaning ‘floor’.	page:24
FORK	compelling	*gablo/ā- (OIr. gabul ‘fork; forked beam, rafter; thighs’, W gafl ‘fork; lap, groin’, B gaol ‘fork, bifurcation; crotch’)	*gablō- (OHG gabala, OE geafol ‘fork’)	L249, IEW 409, Lubotsky 1988, 142, EDPC 147, H81	MO	CGL (I, III), GCL (III)	CGL (I, III), GCL	III	On the one hand, PC *gablo/ā- can technically be derived from the European root *gʰabʰ- or *gʰHbʰ- ‘to grasp’ with an l-suffix, which would imply that it was native in that branch and borrowed by G. This root is comparatively well attested in Celtic in e.g., PC *gab-i- ‘to grasp, take hold of’. On the other hand, it is not certain that PG *gabla- ‘fork’ can be separated from ON gafl ‘gable, gable-end’ < *gabla- and the closely related Go. gibla ‘gable, pinnacle’ (etc.) < *geblō-, which derive from PIE * ( ǵ ) ʰebʰh2-l-, cf. ToA śpāl ‘head’, Gr. κεφαλή ‘head, top’. The original meaning could, for instance, have been ‘pitched beam’. This would rather suggest that the borrowing occurred in the opposite direction (after G *o > a).	page:24
FREE	compelling	*ϕriio- (W rhydd, OCo. rid ‘free’)	*frī̆(j)a- (Go. freis, OE frēo, OHG frī ‘free’)	L246, Kr136, Pr119, Pl282, Schm143, Schu177, EDPC 141, H30, EDPG 155, Ko12	SM	IE(?), CGL (I)	IE(?), CGL	I	CG semantic shift to ‘free’ from PIE *priH-o- ‘dear’; the original meaning is found in Skt priyá- ‘dear’. Since G preserves the original meaning in the cluster of *frī̆(j)ōn-‘to love’, *frī̆(j)ōnd- ‘friend’ (see FRIEND), while the word is isolated in Celtic, it seems more likely that the semantic shift took place in C than in G. This could point to an early borrowing from C to G at a stage when C had not yet lost the initial labial (Stratum I or early II).	page:24
FRUIT	compelling	*agronā (W aeron ‘berries’)	*akrana- (Go. akran ‘fruit’, ON akarn, OE æcern, MHG ackeran ‘acorn’)	EDPC 27, EDPG 18	MO	IE? (0), L (I-II)	IE? (0), L	I-II	The shared formation *agrono/eh2- seems to consist of an unknown element *agr- (PIE *h2eǵ-ro- ‘field; wild’?) and a suffix *-on-. This suffix appears to have enjoyed some productivity in G berry and tree fruit names, cf. ON aldin ‘acorn’ < *aldana-. In C we may see an originally neuter plural of the same suffix (*-oneh2-) in collective use, cf. Go. ahana ‘chaff’, Lat. agna f. ‘ear of grain, straw’ < *h2eḱ-on-eh2-. Lith. úoga, Russ. jágoda ‘strawberry’ may have a root connection to these words, but represent dissimilar formations. The formation is further reminiscent of PC *agrīnio- (OIr. áirne, W eirin, B irin ‘sloe(s)’).	page:24
HARBOR	compelling	*kauno- (MIr. cúan ‘harbor, bay’)	*hafnō- (ON hǫfn, OE hæfen, MLG havene ‘harbor, bay’)	L254, Pr120, EDPC 197, H36, EDPG 196, 240, Ko8, Stifter (this volume)	MO/LX	IE? (0), L (I)	IE? (0), L	I	A CG formation *k(a/o)p-no/eh2- may be reconstructed. This may be a shared derivational innovation, provided that the connection with PIE *keh2p- ‘to take’ is accepted, but the semantic link is unclear. Within G it is possible to connect ON haf, OE hæf, OFri. hef ‘sea, lake’ < *kh2p-o-, MHG habe ‘harbor, haven, sea’, Swi. G. Hab ‘harbor’ < *kh2p-éh2- and ON hóp ‘small bay’ < *ke/oh2p-nó-), which makes it appear native at least within this branch.	page:24
HAYSTACK 1	compelling	*krouko- (?Lus. top. crougo-/crouco-, MIr. crúach ‘stack (of corn), rick, heap, hill’, W crug ‘hillock, cairn, heap’, B krug ‘haystack’, OCo. cruc gl. collis)	*hrauka- (ON hrauk, OE hrēac ‘stack, haycock, rick’)	L260, IEW 938, EDPC 226, Kroonen 2011, 268-270, EDPG 243	MO	GCL (III)	GCL	III	The various ablaut grades and Verner and Kluge variants in PG *hrū ̆ ha- (ON hró ‘hillock’), *hrūgōn- (ON hrúga ‘pile’), *hrukan- (ON hroki ‘pile’), and *hrukka- (MDu. rock ‘haystack’) show that the word has some pedigree in this branch. It therefore appears borrowed into C with [xr] adopted as C *kr-, but there is only a narrow time window during which borrowing of *hraukacould have resulted in PC *krouko-, i.e., after the sound shifts (including the simplification of geminates in overlong syllables), but before the change *o > *a. A further connection with Lat. crux ‘tree, frame, cross’ is semantically unconvincing.	page:25
HAYSTACK 2	compelling	*dassi- (OIr. daiss, W das ‘heap, stack’)	*tassa- (MDu. tas, tasse, MLG tas ‘haystack’)	Falileyev 2000, 40, Kroonen 2011, 227-228	MO/SM	CGL (II)	CGL	II	A CG *dassV- may be posited. It is possible to derive both from a PIE root *deH-, cf. Skt. dā́ti ‘mows, cuts off (plants)’. It is possible that PC *dassi- continues *dh2-sti-, and that G borrowed this word after C *-st- > *-ss-. ON des ‘haystack’ is probably a borrowing from Old Irish.	page:25
HEDGE	compelling	*kagio- (W cae, B kae, Co. ke, Gaul. (Endlicher) caio ‘hedge, fence’)	*hagja- (ON heggr ‘bird cherry’), *hagjō- (OE hecg, OHG heckia, heggia ‘hedge, fence’)	L249, IEW 518, EDLI 99, 123, EDPC 184, H33, EDPG 198	LX/MO	L (I), GCL (II)	L (I), GCL	II	A Celto-Germanic shared formation *kagʰ-io/eh2- with a Celto-Germanic meaning ‘hedge’ may be inferred, which may be related to the verbal root *kagʰ- as found in W cael ‘to get’, Oscan kahad ‘takes’.11 In G this base is derivationally more deeply rooted than in C, cf. PG *haga(n)- ‘enclosure; hedge’ (ON hagi, OE haga, OS hago, OHG hag), but borrowing from G into C is phonologically problematic. Lat. caulae ‘railing or lattice barrier’, if from *kagʰ-ela (with diminutive suffix?), is compatible with the latter variant, but the connection is formally less straightforward than the one with C. A further possible connection is Alb. thanë ‘cornel; winter stall for sheep’ < *ḱa/o(C)-neh2-, which is formally and semantically close to PG *hag(V)na- ‘briar, fencing’. If correct, it would give the CG formation a non-exclusively CG derivational base, but the rootfinal consonant of the Albanian form is obscured by the contiguous nasal.	page:25
HE-GOAT	compelling	*bukko- (OIr. boc, W bwch, B bouc’h, OCo. boch ‘he- goat’)	*bukka(n)- (ON bokkr, bukkr, OE bucca, OHG bock ‘he- goat’)	L264, Schu174–175, EPDC 83, EDPG 82	MO	GCL (III)	GCL	III	The Germanic is inflected as an n-stem and may go back to PIE *bʰuǵ-ōn, gen. *bʰuǵ-n-ós, cf. YAv. būza- ‘he-goat’ < *bʰuǵ-o-. The Celtic must have been borrowed from Germanic after the operation of Kluge’s law.	page:25
HILLTOP	compelling	*dūno- (OIr. dún, W din, OB din, Co. dyn ‘fort’)	*dūna- (OE dūn ‘hill’, E down ‘rolling hill, dune’, Du. duin ‘dune’)	IEW 261-267	MO	CGL (III-IV)	CGL	III-IV	A shared *dʰuH-no- may be adduced. IEW connects this formation with a root *dʰueh2- ‘to blow’, but OIr. doé ‘wall, mound’ < *dʰuH-io- provides a better intra-Celtic etymology. In view of ON dúnn ‘feather down’ being the native G outcome of a PIE *dʰuh2-no-, it is likely that (W)G *dūna- was borrowed from Celtic in Stratum III or IV. Stratum I borrowing is formally possible, but fails to account for its restriction to West Germanic. For an earlier borrowing, see PC *dūno- ~ PG *tūna- ‘enclosure’.	page:25
HOLLY	compelling	*kolinno- (Ir. cuilenn, W celyn, MB quelennenn (sglt.) ‘holly’)	*hulisa- (MDu. huls, OHG hulis, huls ‘holly’)	EDPC 213, H19, EDPG 253	MO	3L (I)	3L	I	H proposes that PC and PG share a PIE root *kel-, which shifted in meaning from ‘sharp, prickly’ to ‘holly’. EDPG suggests a substrate origin, which is supported by words found in the Mediterranean: Basque gorosti, Sard. golosti, colostri, Gr. κήλαστρος, Arm. kostłi. The geminate in PC *-nn- may be from *-sn- (the geminate *-nn- is confirmed by Middle Breton). In that case, the Celtic and Germanic forms uniquely share the element *-is- as opposed to -Vst(r)- in the South European languages.	page:25
HORSE 1	compelling	*marko- (MIr. marc, W march, B marc’h, OCo. march, Gaul. markan (acc. sg.) ‘horse’)	*marha- (ON marr, OE mearh, OFri. mar, OHG marh, marah ‘horse, stallion’) 11 In Celtic the root has been connected to W caer ‘fortress’, B kêr ‘town’, but these words may be borrowings from Lat. castrum ‘fort’ (SBCHP 447-8).	L253, Kr140, IEW 700, Pl284, EDPC 257, H74, EDPG 354, Ko8	LX	L (I-II)	L	I-II	A word *marko- may be reconstructed. It is uniquely shared between Celtic and Germanic within IE.	page:25
HOSTAGE	compelling	*geisslo- (OIr. gíall ‘hostage’, W gwystl, B gouestl ‘surety, hostage, pledge’)	*gīsla- (ON gísl, OE gīsel, OFri. jēsel-, OS gīsal)	L248, IEW 426-427, Pl283, Schm140, EDPC 159, H50, EDPG 179, Ko13	MO	CGL (I, III)	CGL (I, III)		A CG *gʰeisslo- may be reconstructed, perhaps from PIE *ǵʰeidʰtlo-, from PIE *ǵʰeidʰ- ‘to desire’. Celtic also has the word in the zero grade: OIr. gell, gill ‘pledge’ (< PC *gisslo-), meaning the word is likely to be Celtic in origin if borrowed into Germanic.	page:26
INHERITANCE	compelling	*orbio- (OIr. orbae ‘inheritance, legacy’)	*arbja- (Go. arbi, OE ierfe, OFri. erve ‘inheritance, patrimony’, ON erfi ‘ritual burial celebration’)	L246, Kr136, IEW 781-782, Pr121, Pl283, Schm143, EDHIL 311, EDPC 299, H23, EDPG 33, Ko12	MO	IE (I), ML (I), GCL (II)	IE (I), ML (I), GCL	II	From the PIE root *h3erbʰ- ‘to change allegiance, status’, cf. Hitt. ḫarp- ‘id’. The formation *h3orbʰ-io- is CG. Germanic and Celtic also share a morphologically and semantically identical formation *h3orbʰ-o- in OIr. orb ‘heir; patrimony’ < PC *orbo and ON *arfr < PG *arba- ‘inheritance, patrimony’. The meaning ‘inheritance, heir’ is also Celto-Germanic.	page:26
IRON	compelling	*ī̆sarno- (Gaul. PN Isarnus, OIr. ïarn, W haearn, B houarn ‘iron’)	*īsarna- (Go. eisarn, ON ísarn, OE īsern, īsen, īren ‘iron’)	L264, Kr122, Pl284, Lühr 1988, Schm140, EDPC 172, Kroonen 2011, EDPG 271, Ko8	LX	CGL (III)	CGL	III	This word entered Germanic after the consonant shifts; borrowing at an earlier time would give PG *īsara- < pre-PG *īsarra- < *īsarno-. It has been suggested that the word was derived from the PIE word for ‘blood’, cf. Hitt. ēšḫar, gen. išḫanāš, ToA ysār, B yasar, Gr. ἔαρ, gen. -ρος < *h1esh2-r/n-, but this lexeme does not otherwise survive in Celtic, making this etymology speculative. An ancient Wanderwort with unknown origins is likely in view of the semantics.	page:26
JESTER	compelling	*drūto- (OIr. drúth ‘jester, buffoon, vagrant; courtesan, harlot), *drūto- (OIr. drúth (adj.) ‘wanton, unchaste’)	*trūþa- (ON trúðr ‘juggler’, OE trúð ‘trumpet player, actor, buffoon’)	L261, EDPG 523, 524, Ko13	MO	CGL (II)	CGL	II	A borrowing from PC *drūto- < PIE *dʰruHto- (see Dear among the rejected CGs) to Germanic following the Celtic merger of voiced stops and voiced aspirates but preceding the Germanic consonant shifts.	page:26
KING	compelling	*rīg- (OIr. rí, W rhi ‘king’, Gaul. PN Catu-rix, Celtib. PN Teiuo-reikis)	*rīk- (Go. reiks ‘king’)	L264, Kr137, Pl283, Schm142, EDPC 310, EDPG 333, Ko11	MO	CGL (II)	CGL	II	The Celtic is from PIE *h3rēǵ-s, so borrowing from Celtic to Germanic postdates PIE *ē > ī in Celtic but predates the Germanic consonant shifts. Proto-Celtic also has *rīgiiom ‘kingship’, and Proto-Germanic also has the derivatives *rīk(j)a-‘rich’, and *rīkja- ‘realm’, which may have been borrowed along with the base form, or it may have formed independently.	page:26
LARK	compelling	*alaudā (Gaul. *alauda- > Lat. alauda ‘lark’)	*laiwiz-akōn- (OE lāwrice, WFri. ljurk, OHG lērahha ‘lark’)	Schrijver 1997, 309-310, EDPG 324	LX	3L (III)	3L	III	The correspondence between Celtic intervocalic *d [ð] and Germanic *z suggests that the word entered Celtic after phonetic lenition of voiced stops and after Verner’s law, as Germanic had no *z before then. A substrate origin is likely because of the alternation between forms with and without the “a-prefix.”	page:26
LAW	compelling	*rextu- (OIr. recht, W cyf-raith, MB reiz ‘law, justice’)	*rehtu- (ON réttr ‘justice, law’)	L246, IEW 854-857, Pr122, Schu177, EDPC 310, H86, Ko11–12	MO/SM	IE(?) (0), ML (I-III)	IE(?) (0), ML	I-III	CG derivation of PIE *h3reǵ- ‘to straighten, direct’ with *-tuand semantic shift from ‘straight, direct’ to ‘law, justice’. This semantic shift has a parallel in Lat. dīrēctus ‘laid straight, upright’ to French droit ‘right, entitlement, law’, which may indicate that the semantic shift from ‘straight’ to ‘just’ is trivial. Nevertheless, the combination of a shared derivation and a shared semantic development appears to make for a compelling isogloss.	page:26
