table_number,table_title,formation,semantic_group,branch_or_language,form,gloss,entry,note
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,suck,Sanskrit,dádhi-,curdled milk; whey,"Skt. dádhi- ‘curdled milk, whey’",
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,suck,Old Prussian,dadan,milk,OPru. dadan ‘milk’,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,suck,Albanian,djathë,cheese,Alb. djathë ‘cheese’,
2,"Reduplicated *dhé-dhh1-, *dhi-dhéh1-",*dhé-dhh1-; *dhi-dhéh1-,suck,Greek,τιθήνη,nurse,Gr. τιθήνη ‘nurse’,
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Hittite; Luwian,tēta(n)-; tītan-,breast; teat,"Hit. tēta(n)-, Luw. tītan- ‘breast, teat’ (*dhéh1-i-to-)",*dhéh1-i-to-
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Sanskrit; Ossetic,dháyati; dæjyn,suck,"Skt. dháyati ‘suck’, Oss. dæjyn",
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Sanskrit,dhītá-,sucked,Skt. dhītá- ‘sucked’,
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Armenian,diem,suck,?Arm. diem ‘suck’,uncertain
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Celtic,*dina-,suck,Celtic *dina- ‘suck’,
3,PIE *dhh1-éi- or *dhh1-i- (without explicit o-ablaut),*dhh1-éi-; *dhh1-i-,suck,Germanic,*dīan,suck,Gmc. *dīan ‘suck’,
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,put,Hittite,dāi; tii̯anzi; titta-i/titti-,put; install,"Hit. dāi, tii̯anzi ‘put’ (> titta-i/titti- ‘install’)",
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,put,Sanskrit; Avestan,dīdhaya; -diδaiia,consider,"Skt. dīdhaya, Av. -diδaiia ‘consider’",
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,suck,Germanic,*dajjan,make suck,Gmc. *dajjan ‘make suck’,
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,suck,Slavic,*dojìti,give milk; make suck,Slav. *dojìti ‘give milk’ (‘make suck’),
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,suck,Sanskrit; Greek,dhénā-; θοίνη,milk stream; meal,"Skt. dhénā- ‘milk stream’, Gr. θοίνη ‘meal’ < *dhh1-ói-n-h2- (‘lactating’)",< *dhh1-ói-n-h2-; lactating
4,"*dhh1-ói-, *dhh1-i-",*dhh1-ói-; *dhh1-i-,suck,Sanskrit; Avestan; Lithuanian,dhenú-; daēnu-; dienì,milch cow; with young,"Skt. dhenú-, Av. daēnu- ‘milch cow’, ?Lith. dienì ‘with young’ < *dhh1-ói-n- (‘lactating’)",< *dhh1-ói-n-; lactating; Lithuanian uncertain
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,put,Slavic,*dělo,thing,Slav. *dělo ‘thing’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Sanskrit,dhārú-,sucking,Skt. dhārú- ‘sucking’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Greek,θηλή; θῆλυς,breast/teat; female,"Gr. θηλή ‘breast, teat’, θῆλυς ‘female’",
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Greek,θηλώ,wet-nurse,Gr. θηλώ ‘wet-nurse’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Armenian,dal,beestings,Arm. dal ‘beestings’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Latin,fīlius,son,Lat. fīlius ‘son’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Latin,fēlāre,suck,Lat. fēlāre ‘suck’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Latin; Umbrian,fēlīx; feliuf,sucking,"Lat. fēlīx, Umb. feliuf ‘sucking’",
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Germanic,*delō-,teat,Gmc. *delō- ‘teat’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Irish,deil,teat; sow,Ir. deil ‘teat; sow’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Latvian,dêls,son,Latv. dêls ‘son’,
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Lithuanian; Latvian,dėlė̃; dēle,leech,"Lith. dėlė̃, Latvian dēle ‘leech’",
5,nominals in *dh(e)h1-l- or dhh1-i-l-,*dh(e)h1-l-; dhh1-i-l-,suck,Latvian,dīle,calf,Latv. dīle ‘calf’,
