token,count
x<l!ryn,1
xw<l!run,1
\*dHfJ<l./6-,1
\*t<il,1
d<ik:;ir.raadj,1
d<ifo,1
\*drul<o-ponth₁-o-,1
tytt<e,1
\*tof<w-6-?,1
\*dJ<m-t-,1
thv<l!tter,1
pv<l!tta,1
\*uol<s-o-,1
gabh<i-,1
G<!siorowski,1
vf-vadh<i-,1
wpaKL<lW,1
f<uendhro-,1
f<uondhna,1
Jrsabh<i-,1
knj<i,1
m<i/fræoi,1
m<i/fli1re,1
gr<ir,1
hl<itr,1
l<iss,1
sk<iid,1
jl<ir,1
l<itur,1
m<igur,1
m<inaour,1
m<isi,1
mj<ilki,1
mj<iur,1
n<itt,1
tr<iur,1
f<i.h,1
f<l!C,1
f<l!der,1
f<l!dera,1
f<l!om,1
f<l!omian,1
dr<i.f,1
f<l!gen,1
f<l!genian,1
f<l!ger,1
f<l!r,1
f<l!S,1
wr<i?o,1
slopf<iri,1
oi<a,1
OU<J-,1
EA.£Ai<w,1
EnV£U<J£,1
-BaA<lμri,1
KE<paATJ,1
VEL<pEL,1
VE<pEATJ,1
VE<ppoi,1
opo<poc,1
6p<pv6c,1
C1TU<pEAL»W,1
C1TEp<pVLO<,1
TpO<paAL<,1
TpO<pL<,1
sreft<eg,1
dadh<ir$a,1
agh<i-,1
ah<im,1
bh<inati,1
bh<ivati,1
bh<iyate,1
dh<iyati,1
dhV<if!ISGti,1
an-eh<is-,1
dfrgh<i-,1
ant<ir,1
caturth<i-,1
d[bh<iti,1
P[TJ<ikti,1
r<ik$ati,1
un<itti,1
§aph<i-,1
$Q$th<i-,1
5ar<i-,1
s<irman-,1
vis-p<iti-,1
t<imas-,1
sat<i-,1
tamr<i-,1
vitt<i-,1
s<iye,1
tan<ikti,1
vir<i-,1
un<i-,1
vl-vadh<i-,1
vr<ijati,1
siy<ite,1
vy<ithate,1
sm<isru-,1
tir<is,1
vamr<i-,1
v<inate,1
v<isati,1
ubh<i-,1
dug<i,1
devj<ityj,1
konoplj<i,1
blist<it',1
gr<inka,1
kos<i,1
j<ibloko,1
ljad<i,1
k<imen',1
sl<iTt,1
smai<!ft,1
