category,description,before,after,count
literal,page-image-informed thorn headword/crossref normalization,\*þiishundi-,\*þūshundī-,1
literal,page-image-informed thorn headword/crossref normalization,\*þusiþa-,\*þusiþa-,1
literal,page-image-informed thorn headword/crossref normalization,\*þutt/don-,\*þutt/dōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þwaron-,\*þwarōn-,1
literal,page-image-informed thorn headword/crossref normalization,\*þurzen-,\*þurzēn-,2
literal,page-image-informed thorn headword/crossref normalization,\*/mrzjan-,\*þurzjan-,1
regex,normalize OCR 6 to ō inside escaped starred forms only,\*...6...,\*...ō...,43
token,high-confidence attested thorn-form correction,pata,þata,1
token,high-confidence attested thorn-form correction,po,þō,3
token,high-confidence attested thorn-form correction,pa,þā,2
token,high-confidence attested thorn-form correction,pat,þat,2
token,high-confidence attested thorn-form correction,pone,þone,1
token,high-confidence attested thorn-form correction,pii,þā,2
token,high-confidence attested thorn-form correction,p<Et,þæt,1
token,high-confidence attested thorn-form correction,pahan,þahan,2
token,high-confidence attested thorn-form correction,pegja,þegja,1
token,high-confidence attested thorn-form correction,pagga,þagga,1
token,high-confidence attested thorn-form correction,pagna,þagna,1
token,high-confidence attested thorn-form correction,p9x,þǭx,1
token,high-confidence attested thorn-form correction,pc:esma,þæsma,1
token,high-confidence attested thorn-form correction,pak,þak,1
token,high-confidence attested thorn-form correction,p<Ec,þæc,1
token,high-confidence attested thorn-form correction,pekja,þekja,1
token,high-confidence attested thorn-form correction,peccan,þeccan,2
token,high-confidence attested thorn-form correction,pekkr,þekkr,2
token,high-confidence attested thorn-form correction,paccian,þaccian,2
token,high-confidence attested thorn-form correction,paho,þahō,1
token,high-confidence attested thorn-form correction,pohe,þōhe,1
token,high-confidence attested thorn-form correction,þ<ihe,þāhe,1
token,high-confidence attested thorn-form correction,p<ittr,þáttr,1
token,high-confidence attested thorn-form correction,panjan,þanjan,1
token,high-confidence attested thorn-form correction,par,þar,3
token,high-confidence attested thorn-form correction,parmr,þarmr,1
token,high-confidence attested thorn-form correction,pearm,þearm,1
token,high-confidence attested thorn-form correction,perra,þerra,1
token,high-confidence attested thorn-form correction,pauli,þauli,1
token,high-confidence attested thorn-form correction,picgan,þicgan,1
token,high-confidence attested thorn-form correction,pegn,þegn,2
token,high-confidence attested thorn-form correction,pykkr,þykkr,2
token,high-confidence attested thorn-form correction,pjokkr,þjokkr,1
token,high-confidence attested thorn-form correction,pjukkr,þjukkr,2
token,high-confidence attested thorn-form correction,pfestre,þīestre,1
token,high-confidence attested thorn-form correction,pinill,þinill,1
token,high-confidence attested thorn-form correction,pjarfr,þjarfr,1
token,high-confidence attested thorn-form correction,peorf,þeorf,1
token,high-confidence attested thorn-form correction,peof,þeof,1
token,high-confidence attested thorn-form correction,pufla,þufla,1
token,high-confidence attested thorn-form correction,piede,þiede,1
token,high-confidence attested thorn-form correction,piedan,þiedan,1
token,high-confidence attested thorn-form correction,piup,þiuþ,1
token,high-confidence attested thorn-form correction,peod,þeod,1
token,high-confidence attested thorn-form correction,peoh,þeoh,1
token,high-confidence attested thorn-form correction,peotan,þeotan,1
token,high-confidence attested thorn-form correction,peow,þeow,2
token,high-confidence attested thorn-form correction,peowa,þeowa,1
token,high-confidence attested thorn-form correction,peowu,þeowu,1
token,high-confidence attested thorn-form correction,piwan,þiwan,1
token,high-confidence attested thorn-form correction,pfn,þīn,1
token,high-confidence attested thorn-form correction,pfnan,þīnan,1
token,high-confidence attested thorn-form correction,ping,þing,2
token,high-confidence attested thorn-form correction,pingan,þingan,1
token,high-confidence attested thorn-form correction,peon,þeon,4
token,high-confidence attested thorn-form correction,pel,þel,1
token,high-confidence attested thorn-form correction,pfsl,þīsl,1
token,high-confidence attested thorn-form correction,pix,þix,1
token,high-confidence attested thorn-form correction,pis,þis,1
token,high-confidence attested thorn-form correction,pettr,þettr,1
token,high-confidence attested thorn-form correction,pinsan,þinsan,1
token,high-confidence attested thorn-form correction,pliuhan,þliuhan,2
token,high-confidence attested thorn-form correction,pragjan,þragjan,1
token,high-confidence attested thorn-form correction,prar,þrár,2
token,high-confidence attested thorn-form correction,proh,þroh,2
token,high-confidence attested thorn-form correction,prysce,þrysce,3
token,high-confidence attested thorn-form correction,pra,þrá,2
token,high-confidence attested thorn-form correction,prii.wan,þrāwan,1
token,high-confidence attested thorn-form correction,praor,þrāðr,1
token,high-confidence attested thorn-form correction,prii!d,þrǣd,1
token,high-confidence attested thorn-form correction,prj6ta,þrjóta,1
token,high-confidence attested thorn-form correction,preotan,þreotan,1
token,high-confidence attested thorn-form correction,prir,þrīr,1
token,high-confidence attested thorn-form correction,prja,þrjá,1
token,high-confidence attested thorn-form correction,prjar,þrjár,1
token,high-confidence attested thorn-form correction,prju,þrjú,1
token,high-confidence attested thorn-form correction,priggja,þriggja,1
token,high-confidence attested thorn-form correction,prioi,þriði,1
token,high-confidence attested thorn-form correction,pridda,þridda,1
token,high-confidence attested thorn-form correction,pr6ttr,þróttr,1
token,high-confidence attested thorn-form correction,proht,þroht,2
token,high-confidence attested thorn-form correction,prjin,þrīn,1
token,high-confidence attested thorn-form correction,pruo,þrūð,1
token,high-confidence attested thorn-form correction,prjio,þrȳð,1
token,high-confidence attested thorn-form correction,pr6a,þrōa,1
token,high-confidence attested thorn-form correction,poka,þoka,1
token,high-confidence attested thorn-form correction,pokka,þokka,1
token,high-confidence attested thorn-form correction,pulr,þulr,1
token,high-confidence attested thorn-form correction,pyle,þyle,1
token,high-confidence attested thorn-form correction,pollur,þollur,1
token,high-confidence attested thorn-form correction,poll,þoll,1
token,high-confidence attested thorn-form correction,pumi,þumi,2
token,high-confidence attested thorn-form correction,puma,þuma,1
token,high-confidence attested thorn-form correction,punian,þunian,1
token,high-confidence attested thorn-form correction,pungr,þungr,1
token,high-confidence attested thorn-form correction,pugkjan,þugkjan,1
token,high-confidence attested thorn-form correction,pykkja,þykkja,1
token,high-confidence attested thorn-form correction,pyncan,þyncan,1
token,high-confidence attested thorn-form correction,punnr,þunnr,1
token,high-confidence attested thorn-form correction,pynne,þynne,1
token,high-confidence attested thorn-form correction,purfa,þurfa,1
token,high-confidence attested thorn-form correction,purft,þurft,1
token,high-confidence attested thorn-form correction,purs,þurs,1
token,high-confidence attested thorn-form correction,pyrs,þyrs,1
token,high-confidence attested thorn-form correction,pyrja,þyrja,2
token,high-confidence attested thorn-form correction,porn,þorn,2
token,high-confidence attested thorn-form correction,porp,þorp,2
token,high-confidence attested thorn-form correction,prop,þrop,2
token,high-confidence attested thorn-form correction,porskr,þorskr,1
token,high-confidence attested thorn-form correction,purst,þurst,1
token,high-confidence attested thorn-form correction,pyrst,þyrst,1
token,high-confidence attested thorn-form correction,purr,þurr,1
token,high-confidence attested thorn-form correction,pyrr,þyrr,2
token,high-confidence attested thorn-form correction,PU.send,þūsend,1
token,high-confidence attested thorn-form correction,podettan,þodettan,1
token,high-confidence attested thorn-form correction,pva,þvá,1
token,high-confidence attested thorn-form correction,pwean,þwēan,1
token,high-confidence attested thorn-form correction,pvall,þvall,1
token,high-confidence attested thorn-form correction,pweal,þweal,1
token,high-confidence attested thorn-form correction,pwa!hl,þwahl,1
token,high-confidence attested thorn-form correction,pvengr,þvengr,1
token,high-confidence attested thorn-form correction,pwang,þwang,1
token,high-confidence attested thorn-form correction,pvara,þvara,1
token,high-confidence attested thorn-form correction,pweran,þweran,1
token,high-confidence attested thorn-form correction,pweor,þweor,1
token,high-confidence attested thorn-form correction,pwerh,þwerh,1
token,high-confidence attested thorn-form correction,pverr,þverr,1
token,high-confidence attested thorn-form correction,pvers,þvers,1
token,high-confidence attested thorn-form correction,pvina,þvina,1
token,high-confidence attested thorn-form correction,pwlnan,þwīnan,1
token,high-confidence attested thorn-form correction,pwahan,þwahan,1
token,high-confidence attested thorn-form correction,pwahl,þwahl,1
token,high-confidence attested thorn-form correction,pwairhs,þwairhs,1
token,high-confidence attested thorn-form correction,paurban,þaurban,1
token,high-confidence attested thorn-form correction,paurfts,þaurfts,1
token,high-confidence attested thorn-form correction,paurp,þaurp,1
token,high-confidence attested thorn-form correction,paurnus,þaurnus,1
token,high-confidence attested thorn-form correction,paursus,þaursus,1
token,high-confidence attested thorn-form correction,paursjan,þaursjan,1
token,high-confidence attested thorn-form correction,pusundi,þusundi,1
token,high-confidence attested thorn-form correction,puk,þuk,2
token,high-confidence attested thorn-form correction,pus,þus,1
token,high-confidence attested thorn-form correction,put-haurn,þut-haurn,1
token,high-confidence attested thorn-form correction,piuda,þiuda,1
token,high-confidence attested thorn-form correction,pius,þius,1
token,high-confidence attested thorn-form correction,piwi,þiwi,1
token,high-confidence attested thorn-form correction,peihan,þeihan,1
token,high-confidence attested thorn-form correction,peins,þeins,1
token,high-confidence attested thorn-form correction,pairko,þairko,1
token,high-confidence attested thorn-form correction,pairsan,þairsan,1
token,high-confidence attested thorn-form correction,peifvo,þeifvo,1
token,high-confidence attested thorn-form correction,preis,þreis,1
token,high-confidence attested thorn-form correction,Prins,þrins,1
token,high-confidence attested thorn-form correction,prija,þrija,1
token,high-confidence attested thorn-form correction,prije,þrije,1
token,high-confidence attested thorn-form correction,prim,þrim,1
token,high-confidence attested thorn-form correction,pridja,þridja,1
token,high-confidence attested thorn-form correction,priutan,þriutan,1
token,high-confidence attested thorn-form correction,propjan,þropjan,1
literal,contextual thorn/OCR correction,OE piece adj.,OE þicce adj.,1
literal,contextual thorn/OCR correction,"\*P infiiil, tiiil n.","þ in fiāl, tiāl n.",1
literal,contextual thorn/OCR correction,pyre[,þyrel,1
literal,additional thorn-section residual starred-form correction,\*P to d,\*þ to d,1
literal,additional thorn-section residual starred-form correction,Fri. \*p by non-Fri. \*!,Fri. \*þ by non-Fri. \*f,1
literal,additional thorn-section residual starred-form correction,assimilation of \*p to the labial,assimilation of \*þ to the labial,1
literal,additional thorn-section residual starred-form correction,\*Pōrr,\*Þōrr,1
literal,additional thorn-section residual starred-form correction,\*p(e)nuz,\*þ(e)nuz,1
