category,before,after,count,confidence,verification,reason
residual-slash-angle-artifact,Nw. dial. e/ja s./w.v.,Nw. dial. elja s./w.v.,1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
residual-slash-angle-artifact,\*h₂e/-ie-,\*h₂el-ie-,1,high,page-image p.61,Corrected *alja-/*aljan- entry artifacts.
residual-slash-artifact,"⇒ \*h₂enf,iz (IE)",⇒ \*h₂enh₂ (IE),1,high,page-image p.64,Corrected proto-form in *ana- entry.
residual-thorn-angle-artifact,ON <Er f.,ON ær f.,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-thorn-angle-artifact,Far. <Er f.,Far. ær f.,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-thorn-angle-artifact,ON <Er < \*awiz,ON ær < \*awiz,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-thorn-angle-artifact,Go. awe/Ji n.,Go. aweþi n.,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-thorn-angle-artifact,emended to \*awipi,emended to \*awiþi,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-thorn-angle-artifact,Its -/:>- arose,Its -þ- arose,1,medium-high,page-image p.83,Corrected high-value *awi-/*awidja- artifacts.
residual-fJ-greek-artifact,"Gr. fJuaavor; m. 'tassels, fringe'","Gr. θύανον m. 'tassels, fringe'",1,high,page-image p.146,Corrected Greek theta OCR artifact in *dudra/on-.
residual-fJ-angle-artifact,\*pol(h₁Jfk'l-eh₂-,\*polh₁tk'l-eh₂-,1,medium,page-image p.165,Corrected selected *falgo- artifacts.
residual-fJ-angle-artifact,"Lith. p/Jsti (-siu, -siau), Latv. p/est","Lith. plė̃sti (-siu, -siau), Latv. plēst",1,medium,page-image p.165,Corrected selected *falgo- artifacts.
residual-fJ-angle-artifact,\*pleh₁1{-ie-,\*pleh₁ḱ-ie-,1,medium,page-image p.165,Corrected selected *falgo- artifacts.
residual-thorn-artifact,\*falpan- s.v.,\*falþan- s.v.,1,high,page-image p.166,Corrected *falþan- thorn artifacts.
residual-thorn-artifact,Go. fa/pan s.v.,Go. falþan s.v.,1,high,page-image p.166,Corrected *falþan- thorn artifacts.
residual-thorn-artifact,fa/tan s.v.,faltan s.v.,1,high,page-image p.166,Corrected *falþan- thorn artifacts.
residual-thorn-artifact,ain-falps,ain-falþs,2,high,page-image p.166,Corrected *falþan- thorn artifacts.
residual-thorn-artifact,\*finpan- s.v.,\*finþan- s.v.,2,high,page-image p.182,Corrected *finþan- and closely associated forms.
residual-thorn-artifact,Go. finflan s.v.,Go. finþan s.v.,1,high,page-image p.182,Corrected *finþan- and closely associated forms.
residual-thorn-artifact,"YAv. par:it&, OAv. ab!. pafJo","YAv. pantā, OAv. abl. paθō",1,high,page-image p.182,Corrected *finþan- and closely associated forms.
residual-thorn-artifact,\*fanfljan-,\*fanþjan-,1,high,page-image p.182,Corrected *finþan- and closely associated forms.
residual-fJ-angle-artifact,"Hitt. pabbur, gen. pafJfJuenas","Hitt. paḫḫur, gen. paḫḫuenas",1,medium-high,page-image p.191,Corrected selected *for/*fun- fire-entry artifacts.
residual-fJ-angle-artifact,\*fu(w Jeri,\*fu(w)eni,1,medium-high,page-image p.191,Corrected selected *for/*fun- fire-entry artifacts.
residual-thorn-artifact,\*/6/Jra- n.,\*fōþra- n.,1,high,page-image p.194,Corrected *fōþra- headword/opening artifacts.
residual-thorn-artifact,OE fooor n.,OE fōþor n.,1,high,page-image p.194,Corrected *fōþra- headword/opening artifacts.
residual-thorn-artifact,Given the pan-WGm.,Given the pan-WGm.,1,high,page-image p.194,Corrected *fōþra- headword/opening artifacts.
residual-thorn-artifact,"\*hullo/Ji, 3pl. \*hulunan/Ji","\*hullōþi, 3pl. \*hulunanþi",1,medium,stress-context/page-image p.294,Corrected selected *hul(l)on verbal-ending artifacts.
residual-thorn-artifact,hټre,here,1,medium,stress-context/page-image p.294,Corrected selected *hul(l)on verbal-ending artifacts.
residual-thorn-artifact,\*in/Jera- n.,\*inþera- n.,1,high,page-image p.310,Corrected *inþera- opening artifacts.
residual-thorn-artifact,"ON ifJr, innr, indr n.","ON iðr, innr, indr n.",1,high,page-image p.310,Corrected *inþera- opening artifacts.
residual-thorn-artifact,\*inperoz,\*inþerōz,1,high,page-image p.310,Corrected *inþera- opening artifacts.
residual-thorn-artifact,"3sg. \*krupp6/Ji, 3pl. \*krubunan/Ji","3sg. \*kruppōþi, 3pl. \*krubunanþi",1,medium-high,stress-context/page-image p.347,Corrected *krupp/bōn- iterative-ending artifacts.
residual-thorn-artifact,"1) \*krupp6/Ji, \*krupunanfJi","1) \*kruppōþi, \*krupunanþi",1,medium-high,stress-context/page-image p.347,Corrected *krupp/bōn- iterative-ending artifacts.
residual-thorn-artifact,"2) \*krubb6/Ji, \*krubunanfJi","2) \*krubbōþi, \*krubunanþi",1,medium-high,stress-context/page-image p.347,Corrected *krupp/bōn- iterative-ending artifacts.
residual-thorn-artifact,\*papa- m./n. 'path',\*paþa- m./n. 'path',1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,"OE prefJ, pafJ m.","OE pæþ, paþ m.",1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,⇒ \*pap- (LW),⇒ \*paþ- (LW),1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,< \*papojan-,< \*paþojan-,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,OE prefJfJan w.v.,OE pæþþan w.v.,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,\*papjan-,\*paþjan-,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,Iranian source \*paB-,Iranian source \*paθ-,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,"Av. pant&, gen. pa{)o","Av. pantā, gen. paθō",1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,\*pa{}-,\*paθ-,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,< \*pa{}aka-,< \*paθaka-,1,high,page-image p.436,Corrected *paþa- path-entry artifacts.
residual-thorn-artifact,\*lu/Jja-,\*luþja-,1,medium,stress context,Corrected *luþja- residual artifact in *luden- entry.
angle-bracket-diacritic-artifact,OE m<Eger,OE mæger,1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 15.
angle-bracket-diacritic-artifact,"ON s<io, OE s<i!d","ON sáð, OE sǣd",1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 18.
angle-bracket-diacritic-artifact,ON n<il,ON nál,1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 18.
angle-bracket-diacritic-artifact,OE nrepl,OE nǣþl,1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 18.
angle-bracket-diacritic-artifact,OE <Ewisc,OE æwisc,1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 25.
angle-bracket-diacritic-artifact,OE cneotw},OE cneo[w],0,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 24.
angle-bracket-diacritic-artifact,OE reg n.,OE ǣg n.,1,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 17/55.
angle-bracket-diacritic-artifact,lveits,ƕeits,2,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 38.
angle-bracket-diacritic-artifact,§vftna-,śvitná-,2,medium-high,page image or standard form,Corrected selected high-visibility angle/diacritic artifact from page 38.
angle-greek-diacritic-artifact,Skt. bh<ivati,Skt. bhávati,1,medium,standard form + page context,Corrected selected high-risk intro-page OCR artifacts.
angle-greek-diacritic-artifact,Skt sthiiraadj.,Skt sthūra- adj.,1,medium,standard form + page context,Corrected selected high-risk intro-page OCR artifacts.
angle-greek-diacritic-artifact,Gr. 6μ<p؎,Gr. ὀμφή,1,medium,standard form + page context,Corrected selected high-risk intro-page OCR artifacts.
angle-greek-diacritic-artifact,Skt. pit<ir-,Skt. pitár-,1,medium,standard form + page context,Corrected selected high-risk intro-page OCR artifacts.
angle-greek-diacritic-artifact,Gr. naTiJp,Gr. πατήρ,1,medium,standard form + page context,Corrected selected high-risk intro-page OCR artifacts.
residual-thorn-pattern,(?<=\*)6/Ji,ōþi,0,medium,pattern-limited,"In reconstructed verbal endings, 6/Ji is OCR for ōþi."
residual-thorn-pattern,"(\\\*[A-Za-zāēīōūǣþð/()\-]{2,40})unan/Ji",\1unanþi,5,medium,pattern-limited,"In reconstructed verbal endings, unan/Ji is OCR for unanþi."
residual-thorn-pattern,"(\\\*[A-Za-zāēīōūǣþð/()\-]{2,40})unanfJi",\1unanþi,1,medium,pattern-limited,"In reconstructed verbal endings, unanfJi is OCR for unanþi."
residual-thorn-artifact,Go. awe/Ji is usually,Go. aweþi is usually,1,high,consistency/page-context,Corrected remaining aweþi prose reference.
residual-thorn-artifact,"Go. finpan, ON finna","Go. finþan, ON finna",1,high,consistency/page-context,Corrected intro-page finþan attestation.
residual-thorn-artifact,\*fanpjan- m.,\*fanþjan- m.,1,high,consistency/page-context,Corrected *fanþjan- headword.
residual-thorn-artifact,Derived from \*finpan-,Derived from \*finþan-,1,high,consistency/page-context,Updated *fanþjan- derivational reference.
residual-thorn-artifact,and \*papa-.,and \*paþa-.,1,high,consistency/page-context,Updated path cross-reference to corrected *paþa-.
