work	dir	file	section	pages	title	tags	quality
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch2-sec2-6.md	§2.6	83	§2.6 The PIE lexicon	PIE-lexicon|lexicon	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-1.md	§3.1	84-85	§3.1 Introduction [PIE to PGmc sound changes]	Proto-Germanic|sound-changes|historical-linguistics-theory	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-1.md	§3.2.1	86-99	§3.2.1 The elimination of laryngeals, and related developments of vowels	laryngeals|ablaut|sound-changes|Proto-Germanic|sound-change-chronology	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-2.md	§3.2.2	100-105	§3.2.2 Changes affecting sonorants	sonorants|syllabic-resonants|sound-changes|Proto-Germanic	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-3.md	§3.2.3	106-112	§3.2.3 Changes affecting obstruents	stops|fricatives|labiovelars|sound-changes|Proto-Germanic	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-4.md	§3.2.4	113-140	§3.2.4 Grimm's Law and Verner's Law	Grimm|Verner|stops|fricatives|sound-changes|Proto-Germanic|accent	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-5.md	§3.2.5	141-152	§3.2.5 Sievers' Law and unstressed syllables	Sievers|sonorants|sound-changes|Proto-Germanic|accent	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-6.md	§3.2.6	153-169	§3.2.6 Loss of *j, *w, and *ə; *uj > *ij; miscellaneous consonant changes	sonorants|fricatives|sound-changes|Proto-Germanic|ablaut	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-7.md	§3.2.7	170-174	§3.2.7 Other changes of vowels	ablaut|sound-changes|Proto-Germanic	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-2-8.md	§3.2.8	175-176	§3.2.8 Chronological overview [PIE to PGmc]	sound-change-chronology|sound-changes|Proto-Germanic	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-3.md	§3.3	177-195	§3.3 Restructurings of the inflectional morphology	noun-inflection|verb-inflection|Proto-Germanic|sound-changes	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-4-1.md	§3.4.1	196	§3.4.1 Changes in inflectional categories	Proto-Germanic|verb-inflection|noun-inflection	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-4-2.md	§3.4.2	197-198	§3.4.2 Changes in the formal expression of inflectional categories	Proto-Germanic|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-4-3.md	§3.4.3	199-220	§3.4.3 Changes in verb inflection	Proto-Germanic|verb-inflection|thematic-stems|athematic-stems|perfect|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-4-4.md	§3.4.4	221-226	§3.4.4 Changes in noun inflection	Proto-Germanic|noun-inflection|o-stem|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-4-5.md	§3.4.5	227-235	§3.4.5 Changes in the inflection of other nominals	Proto-Germanic|pronouns|numerals|adjective-inflection|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-5.md	§3.5	236-239	§3.5 Changes in syntax	Proto-Germanic|syntax	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch3-sec3-6.md	§3.6	240	§3.6 Lexical changes	Proto-Germanic|lexicon	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-1.md	§4.1	241	§4.1 Introduction [PGmc survey]	Proto-Germanic	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-2.md	§4.2	242-259	§4.2 PGmc phonology	Proto-Germanic|PIE-phonology|ablaut|labiovelars|stops|sonorants|accent	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-1.md	§4.3.1	260	§4.3.1 Inflectional categories of PGmc	Proto-Germanic|noun-inflection|verb-inflection	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-2.md	§4.3.2	261	§4.3.2 The formal expression of PGmc inflectional categories	Proto-Germanic|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-3.md	§4.3.3	262-298	§4.3.3 PGmc verb inflection	Proto-Germanic|verb-inflection|thematic-stems|athematic-stems|perfect|paradigms|personal-endings	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-4.md	§4.3.4	299-312	§4.3.4 PGmc noun inflection	Proto-Germanic|noun-inflection|o-stem|s-stem|root-nouns|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-5.md	§4.3.5	313-317	§4.3.5 PGmc adjective inflection	Proto-Germanic|adjective-inflection|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-3-6.md	§4.3.6	318-322	§4.3.6 The inflection of other PGmc nominals	Proto-Germanic|pronouns|numerals|paradigms	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-4.md	§4.4	323-327	§4.4 PGmc word formation	Proto-Germanic|derivational-morphology|word-formation|compounding	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-5.md	§4.5	328	§4.5 PGmc syntax	Proto-Germanic|syntax	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-ch4-sec4-6.md	§4.6	328-330	§4.6 The PGmc lexicon	Proto-Germanic|lexicon	born-digital
R2017	ringe-2017-pie-to-proto-germanic-2nd	ringe-2017-pie-to-proto-germanic-2nd-index.md	index	348-406	Index (PIE forms, PGmc forms, subjects)	PIE-reconstruction|Proto-Germanic	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch1.md	Ch1	1-3	Chapter 1. Introduction	Proto-Greek|Greek|historical-linguistics-theory	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-1.md	§2.1	4-6	§2.1 Introduction [PIE survey]	PIE-reconstruction	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-2.md	§2.2	7-23	§2.2 PIE phonology	PIE-phonology|laryngeals|syllabic-resonants|labiovelars|stops|sonorants|accent|ablaut	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-intro.md	§2.3	24	§2.3 PIE inflectional morphology [intro]	PIE-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-1.md	§2.3.1	24-27	§2.3.1 PIE inflectional categories	PIE-inflection|noun-inflection|verb-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-2.md	§2.3.2	28-29	§2.3.2 Formal expression of inflectional categories	PIE-inflection|paradigms	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-3.md	§2.3.3	30-50	§2.3.3 PIE verb inflection	PIE-inflection|verb-inflection|thematic-stems|athematic-stems|perfect|aorist|nasal-infix|personal-endings|mood|aspect	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-4.md	§2.3.4	51-65	§2.3.4 PIE noun inflection	PIE-inflection|noun-inflection|o-stem|s-stem|root-nouns|athematic-nouns|paradigms	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-5.md	§2.3.5	66-68	§2.3.5 PIE adjective inflection	PIE-inflection|adjective-inflection|paradigms	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-3-6.md	§2.3.6	69-75	§2.3.6 The inflection of other PIE nominals	PIE-inflection|pronouns|numerals|paradigms	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-4.md	§2.4	76-80	§2.4 PIE derivational morphology	PIE-inflection|derivational-morphology|word-formation	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-5.md	§2.5	81-86	§2.5 PIE syntax	PIE-syntax|syntax	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch2-sec2-6.md	§2.6	87	§2.6 The PIE lexicon	PIE-lexicon|lexicon	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-1.md	§3.1	88	§3.1 Introduction [Greek sound changes]	Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-2.md	§3.2	88-111	§3.2 The elimination of laryngeals	laryngeals|Proto-Greek|sound-changes|ablaut|sound-change-chronology	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-3.md	§3.3	112-115	§3.3 Early developments of nasals	sonorants|syllabic-resonants|Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-4.md	§3.4	116-130	§3.4 Early developments of obstruents	stops|fricatives|labiovelars|Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-5.md	§3.5	131-152	§3.5 The origin and development of Proto-Greek *h	Proto-Greek|sound-changes|fricatives|laryngeals	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-6.md	§3.6	153-166	§3.6 The development of PIE *y	sonorants|Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-7.md	§3.7	167-168	§3.7 Other clusters of dental stops	stops|thorn-clusters|Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-8.md	§3.8	169	§3.8 Accent in Proto-Greek	accent|Proto-Greek|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch3-sec3-9.md	§3.9	170-172	§3.9 Relative chronology of sound changes	sound-change-chronology|Proto-Greek	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-1.md	§4.1	173	§4.1 Introduction [Greek inflection]	Proto-Greek|noun-inflection|verb-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-intro.md	§4.2	173	§4.2 Changes in verb inflection [intro]	Proto-Greek|verb-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-1.md	§4.2.1	174-200	§4.2.1 The development of present stems	Proto-Greek|verb-inflection|present-stems|thematic-stems|athematic-stems|nasal-infix	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-2.md	§4.2.2	201-215	§4.2.2 The development of aorist stems	Proto-Greek|verb-inflection|aorist	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-3.md	§4.2.3	216-222	§4.2.3 Perfect stems	Proto-Greek|verb-inflection|perfect	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-4.md	§4.2.4	223-224	§4.2.4 Future stems	Proto-Greek|verb-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-5.md	§4.2.5	225-226	§4.2.5 Mood suffixes and the augment	Proto-Greek|verb-inflection|mood	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-6.md	§4.2.6	227-231	§4.2.6 Personal endings	Proto-Greek|verb-inflection|personal-endings	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-7.md	§4.2.7	232	§4.2.7 Participles and infinitives	Proto-Greek|verb-inflection	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-2-8.md	§4.2.8	232	§4.2.8 The accent of Greek verb forms	Proto-Greek|verb-inflection|accent	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch4-sec4-3.md	§4.3	233-261	§4.3 Changes in nominal inflection	Proto-Greek|noun-inflection|paradigms|o-stem|s-stem|root-nouns	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch5.md	Ch5	262-299	Chapter 5. The initial diversification of Greek dialects	Greek|dialect-geography|subgrouping|sound-changes|phonology	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch6.md	Ch6	300-311	Chapter 6. The Attic-Ionic dialects	Greek|dialect-geography|sound-changes	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch7.md	Ch7	312-327	Chapter 7. Widely shared later innovations	Greek|sound-changes|dialect-geography	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch8.md	Ch8	328-335	Chapter 8. Syntax	Greek|syntax	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-ch9.md	Ch9	336-342	Chapter 9. Lexicon	Greek|lexicon|Proto-Greek	born-digital
R2024	ringe-2024-linguistic-roots-ancient-greek	ringe-2024-linguistic-roots-ancient-greek-index.md	index	361-405	Index (Greek forms, PIE forms, subjects)	PIE-reconstruction|Proto-Greek|Greek	born-digital
